编号,文本,拆分信息,时间,地点,术语,数量词,（粗粒度）分词,（细粒度）分词,词性,成分分析,简化模板,完整模板,简化模板线索词,完整模板线索词,简化模板类型,完整模板类型,（auto）时间,（auto）地点,（auto粗粒度）分词,（auto细粒度）分词,（auto）词性,（auto）成分分析
1-A,据图判断，该地	北京时间16时地面吸收的太阳热量最大,None,7,,6,,据 图 判断 ， 该 地 北京时间 16时 地面 吸收 的 太阳 热量 最 大,据 图 判断 ， 该 地 北京 时间 16时 地面 吸收 的 太阳 热量 最 大,P NN VV PU DT NN term time NN VV DEC NN NN AD VA,,时间限定_0（北京时间16时）最值_1（该地，地面吸收的太阳热量，大，#）,时间限定_0（北京时间16时）最值_1（该地，地面吸收的太阳热量，大，#）,0_6-7 1_13,0_6-7 1_13,时间限定 最值,时间限定 最值,7,,据 图 判断 ， 该 地 北京时间 16时 地面 吸收 的 太阳 热量 最 大,据 图 判断 ， 该 地 北京时间 16时 地面 吸收 的 太阳 热量 最 大,P NN NN PU DT NN term time NN VV DEC NN NN AD VA,( (IP (PP (P 据) (IP (NP (NN 图)) (VP (VV 判断)))) (PU ，) (NP (NP (NP (DP (DT 该)) (NP (NN 地))) (NP (NN 北京时间))) (CP (IP (NP (NT 16时)) (NP (NN 地面)) (VP (VV 吸收))) (DEC 的)) (NP (NN 太阳) (NN 热量))) (VP (ADVP (AD 最)) (VP (VA 大)))) )
28-⑤,蓉欧快速铁路的建成通车产生的影响有	改善成渝地区的投资环境,None,,0 9,,,蓉欧快速铁路 的 建成 通车 产生 的 影响 有 改善 成渝地区 的 投资 环境,蓉欧 快速 铁路 的 建成 通车 产生 的 影响 有 改善 成渝 地区 的 投资 环境,loc DEG NN NN VV DEC NN VE VV loc DEG NN NN,,,,,,,,,,蓉欧 快速 铁路 的 建成 通车 产生 的 影响 有 改善 成渝 地区 的 投资 环境,蓉欧 快速 铁路 的 建成 通车 产生 的 影响 有 改善 成渝 地区 的 投资 环境,loc DEG NN VV VV DEC NN VE VV loc DEG NN NN,( (IP (NP (CP (IP (NP (DNP (NP (NR 蓉欧快速铁路)) (DEG 的)) (NP (NN 建成) (NN 通车))) (VP (VV 产生))) (DEC 的)) (NP (NN 影响))) (VP (VE 有) (IP (VP (VV 改善) (NP (DNP (NP (NR 成渝地区)) (DEG 的)) (NP (NN 投资) (NN 环境))))))) )
29-A,新疆	地形是决定城镇分布的主要因素,None,,0,,,新疆 地形 是 决定 城镇 分布 的 主要 因素,新疆 地形 是 决定 城镇 分布 的 主要 因素,loc NN VC VV NN NN DEG JJ NN,,,,,,,,,,新疆 地形 是 决定 城镇 分布 的 主要 因素,新疆 地形 是 决定 城镇 分布 的 主要 因素,loc NN VC VV NN VV DEC JJ NN,( (IP (NP (NP (NR 新疆)) (NP (NN 地形))) (VP (VC 是) (VP (VV 决定) (NP (DNP (NP (NN 城镇) (NN 分布)) (DEG 的)) (ADJP (JJ 主要)) (NP (NN 因素)))))) )
29-B,新疆	城镇主要分布在山麓地带的绿洲,None,,0,,,新疆 城镇 主要 分布 在 山麓 地带 的 绿洲,新疆 城镇 主要 分布 在 山麓 地带 的 绿洲,loc NN AD VV P NN NN DEG NN,,,,,,,,,0,新疆 城镇 主要 分布 在 山麓 地带 的 绿洲,新疆 城镇 主要 分布 在 山麓 地带 的 绿洲,loc NN AD VV P NN NN DEG NN,( (IP (NP (NP (NR 新疆)) (NP (NN 城镇))) (VP (ADVP (AD 主要)) (VP (VV 分布) (PP (P 在) (NP (DNP (NP (NN 山麓) (NN 地带)) (DEG 的)) (NP (NN 绿洲))))))) )
29-C,新疆	城镇集群带分布在矿产资源丰富地区,None,,0,,,新疆 城镇 集群带 分布 在 矿产 资源 丰富 地区,新疆 城镇 集群带 分布 在 矿产 资源 丰富 地区,loc NN NN VV P NN NN VA NN,,,,,,,,,0,新疆 城镇 集群 带 分布 在 矿产 资源 丰富 地区,新疆 城镇 集群 带 分布 在 矿产 资源 丰富 地区,loc NN NN VV VV P NN NN VA NN,( (IP (NP (NP (NR 新疆)) (NP (NN 城镇) (NN 集群带))) (VP (VV 分布) (PP (P 在) (NP (NP (NN 矿产) (NN 资源)) (CP (VP (VA 丰富))) (NP (NN 地区)))))) )
29-D,新疆	城镇发展轴主要沿河流规划建设,None,,0,,,新疆 城镇 发展轴 主要 沿 河流 规划 建设,新疆 城镇 发展轴 主要 沿 河流 规划 建设,loc NN NN AD P NN VV VV,,,,,,,,,0,新疆 城镇 发展 轴 主要 沿河 流 规划 建设,新疆 城镇 发展 轴 主要 沿河 流 规划 建设,loc NN VV VV JJ NN NN VV VV,( (IP (NP (NP (NR 新疆)) (NP (NN 城镇) (NN 发展轴))) (VP (ADVP (AD 主要)) (PP (P 沿) (NP (NN 河流))) (VP (VSB (VV 规划) (VV 建设))))) )
30-A,新疆城镇体系中	伊宁和喀什是同级别的地区级中心,None,,0 4 6,,,新疆 城镇 体系 中 伊宁 和 喀什 是 同 级别 的 地区级 中心,新疆 城镇 体系 中 伊宁 和 喀什 是 同 级别 的 地区级 中心,loc NN NN LC loc CC loc VC JJ NN DEG JJ NN,,,,,,,,,0,新疆 城镇 体系 中 伊宁 和 喀什 是 同 级别 的 地区 级 中心,新疆 城镇 体系 中 伊宁 和 喀什 是 同 级别 的 地区 级 中心,loc NN NN LC loc CC loc VC P NN DEG NN NN NN,( (IP (NP (LCP (NP (NP (NR 新疆)) (NP (NN 城镇) (NN 体系))) (LC 中)) (NP (NR 伊宁) (CC 和) (NR 喀什))) (VP (VC 是) (NP (DNP (NP (ADJP (JJ 同)) (NP (NN 级别))) (DEG 的)) (ADJP (JJ 地区级)) (NP (NN 中心))))) )
30-B,新疆城镇体系中	阿勒泰也具备乌鲁木齐的城市功能,None,,0 4 7,,,新疆 城镇 体系 中 阿勒泰 也 具备 乌鲁木齐 的 城市 功能,新疆 城镇 体系 中 阿勒泰 也 具备 乌鲁木齐 的 城市 功能,loc NN NN LC loc AD VV loc DEG NN NN,,,,,,,,,0,新疆 城镇 体系 中 阿勒泰 也 具备 乌鲁木齐 的 城市 功能,新疆 城镇 体系 中 阿勒泰 也 具备 乌鲁木齐 的 城市 功能,loc NN NN LC loc AD VV loc DEG NN NN,( (IP (LCP (NP (NP (NR 新疆)) (NP (NN 城镇) (NN 体系))) (LC 中)) (NP (NR 阿勒泰)) (VP (ADVP (AD 也)) (VP (VV 具备) (NP (DNP (NP (NR 乌鲁木齐)) (DEG 的)) (NP (NN 城市) (NN 功能)))))) )
30-C,新疆城镇体系中	库尔勒服务范围能完全覆盖阿克苏,None,,0 4 10,,,新疆 城镇 体系 中 库尔勒 服务 范围 能 完全 覆盖 阿克苏,新疆 城镇 体系 中 库尔勒 服务 范围 能 完全 覆盖 阿克苏,loc NN NN LC loc NN NN VV AD VV loc,,,,,,,,,0,新疆 城镇 体系 中 库尔勒 服务 范围 能 完全 覆盖 阿克苏,新疆 城镇 体系 中 库尔勒 服务 范围 能 完全 覆盖 阿克 苏,loc NN NN LC loc NN NN VV AD VV NR NR,( (IP (NP (LCP (NP (NP (NR 新疆)) (NP (NN 城镇) (NN 体系))) (LC 中)) (NP (NR 库尔勒)) (NP (NN 服务) (NN 范围))) (VP (VV 能) (VP (ADVP (AD 完全)) (VP (VV 覆盖) (NP (NR 阿克苏)))))) )
30-D,新疆城镇体系中	不同等级城市应保持均衡发展态势,None,,0,,,新疆 城镇 体系 中 不同 等级 城市 应 保持 均衡 发展 态势,新疆 城镇 体系 中 不同 等级 城市 应 保持 均衡 发展 态势,loc NN NN LC JJ NN NN VV VV JJ NN NN,,,,,,,,,0,新疆 城镇 体系 中 不同 等级 城市 应 保持 均衡 发展 态势,新疆 城镇 体系 中 不同 等级 城市 应 保持 均衡 发展 态势,loc NN NN LC JJ NN NN VV VV JJ NN NN,( (IP (NP (LCP (NP (NP (NR 新疆)) (NP (NN 城镇) (NN 体系))) (LC 中)) (NP (ADJP (JJ 不同)) (NP (NN 等级))) (NP (NN 城市))) (VP (VV 应) (VP (VV 保持) (NP (ADJP (JJ 均衡)) (NP (NN 发展) (NN 态势)))))) )
31-A,中缅天然气管线的贯通将	促进沿线地区资源开发,None,,0 1,,,中 缅 天然气 管线 的 贯通 将 促进 沿线 地区 资源 开发,中 缅 天然气 管线 的 贯通 将 促进 沿线 地区 资源 开发,loc loc NN NN DEG NN AD VV NN NN NN NN,,,,,,,,,,中缅 天然气 管线 的 贯通 将 进 沿线 地区 资源 开发,中缅 天然气 管线 的 贯通 将 进 沿线 地区 资源 开发,loc loc NN NN DEG NN AD VV NN NN NN NN,( (IP (NP (DNP (NP (NP (NR 中) (NR 缅)) (NP (NN 天然气) (NN 管线))) (DEG 的)) (NP (NN 贯通))) (VP (ADVP (AD 将)) (VP (VV 促进) (NP (NN 沿线) (NN 地区) (NN 资源) (NN 开发))))) )
31-B,中缅天然气管线的贯通将	加大途经地区环境压力,None,,0 1,,,中 缅 天然气 管线 的 贯通 将 加大 途经 地区 环境 压力,中 缅 天然气 管线 的 贯通 将 加大 途经 地区 环境 压力,loc loc NN NN DEG NN AD VV NN NN NN NN,,,,,,,,,,中缅 天然气 管线 的 贯通 将 加大 途经 地区 环境 压力,中缅 天然气 管线 的 贯通 将 加大 途经 地区 环境 压力,loc loc NN NN DEG NN AD VV VV NN NN NN,( (IP (NP (DNP (NP (NP (NR 中) (NR 缅)) (NP (NN 天然气) (NN 管线))) (DEG 的)) (NP (NN 贯通))) (VP (ADVP (AD 将)) (VP (VV 加大) (NP (NP (NN 途经) (NN 地区)) (NP (NN 环境) (NN 压力)))))) )
31-C,中缅天然气管线的贯通将	改变我国能源消费结构,None,,0 1,,,中 缅 天然气 管线 的 贯通 将 改变 我国 能源 消费 结构,中 缅 天然气 管线 的 贯通 将 改变 我国 能源 消费 结构,loc loc NN NN DEG NN AD VV NN NN NN NN,,,,,,,,,,中缅 天然气 管线 的 贯通 将 改变 我国 能源 消费 结构,中缅 天然气 管线 的 贯通 将 改变 我国 能源 消费 结构,loc loc NN NN DEG NN AD VV VV NN NN NN,( (IP (NP (DNP (NP (NP (NR 中) (NR 缅)) (NP (NN 天然气) (NN 管线))) (DEG 的)) (NP (NN 贯通))) (VP (ADVP (AD 将)) (VP (VV 改变) (NP (NN 我国) (NN 能源) (NN 消费) (NN 结构))))) )
31-D,中缅天然气管线的贯通将	加强我国能源的安全性,None,,0 1,,,中 缅 天然气 管线 的 贯通 将 加强 我国 能源 的 安全性,中 缅 天然气 管线 的 贯通 将 加强 我国 能源 的 安全性,loc loc NN NN DEG NN AD VV NN NN DEG NN,,,,,,,,,,中缅 天然气 管线 的 贯通 将 加强 我国 能源 的 安全性,中缅 天然气 管线 的 贯通 将 加强 我国 能源 的 安全性,loc loc NN NN DEG NN AD VV NN NN DEG NN,( (IP (NP (DNP (NP (NP (NR 中) (NR 缅)) (NP (NN 天然气) (NN 管线))) (DEG 的)) (NP (NN 贯通))) (VP (ADVP (AD 将)) (VP (VV 加强) (NP (DNP (NP (NN 我国) (NN 能源)) (DEG 的)) (NP (NN 安全性)))))) )
32-A,中缅天然气管道沿线	均属于热带季风气候,None,,0 1,7,,中 缅 天然气 管道 沿线 均 属于 热带季风气候,中 缅 天然气 管道 沿线 均 属于 热带 季风 气候,loc loc NN NN NN AD VV term,,,,,,,,,,中缅 天然气 管道 沿线 均 属于 热带季风气候,中缅 天然气 管道 沿线 均 属于 热带季风气候,loc loc NN NN NN AD VV term,( (IP (NP (NP (NP (NR 中) (NR 缅)) (NP (NN 天然气) (NN 管道))) (NP (NN 沿线))) (VP (ADVP (AD 均)) (VP (VV 属于) (NP (NN 热带季风气候))))) )
32-B,中缅天然气管道沿线	地跨我国地势的三级阶梯,None,,0 1,9,,中 缅 天然气 管道 沿线地 跨 我国 地势 的 三级阶梯,中 缅 天然气 管道 沿线地 跨 我国 地势 的 三级 阶梯,loc loc NN NN NN VV NN NN DEG term,,,,,,,,,,中缅 天然气 管道 沿线 地 跨 我国 地势 的 三级 阶梯,中缅 天然气 管道 沿线 地 跨 我国 地势 的 三级 阶梯,loc loc NN NN NN DEV VV NR NN DEG term,( (IP (NP (NP (NR 中) (NR 缅)) (NP (NN 天然气) (NN 管道)) (NP (NN 沿线地))) (VP (VV 跨) (NP (DNP (NP (NN 我国) (NN 地势)) (DEG 的)) (NP (NN 三级阶梯))))) )
32-C,中缅天然气管道沿线	地质条件复杂，工程量大,n,,0 1,,,中 缅 天然气 管道 沿线 地质 条件 复杂 ， 工程量 大,中 缅 天然气 管道 沿线 地质 条件 复杂 ， 工程量 大,loc loc NN NN NN NN NN VA PU NN VA,,,,,,,,,,中缅 天然气 管道 沿线 地质 条件 复杂 ， 工程量 大,中缅 天然气 管道 沿线 地质 条件 复杂 ， 工程量 大,loc loc NN NN NN NN NN VA PU NN JJ,( (IP (NP (NP (NP (NR 中) (NR 缅)) (NP (NN 天然气) (NN 管道))) (NP (NN 沿线))) (IP (IP (NP (NN 地质) (NN 条件)) (VP (VA 复杂))) (PU ，) (IP (NP (NN 工程量)) (VP (VA 大))))) )
32-D,中缅天然气管道沿线	途经地区河流航运价值大,None,,0 1,,,中 缅 天然气 管道 沿线 途经 地区 河流 航运 价值 大,中 缅 天然气 管道 沿线 途经 地区 河流 航运 价值 大,loc loc NN NN NN NN NN NN NN NN VA,,,,,,,,,,中缅 天然气 管道 沿线 途经 地区 河流 航运 价值 大,中缅 天然气 管道 沿线 途经 地区 河流 航运 价值 大,loc loc NN NN NN VV NN NN NN NN VA,( (IP (NP (NP (NP (NP (NP (NR 中) (NR 缅)) (NP (NN 天然气) (NN 管道))) (NP (NN 沿线))) (NP (NN 途经) (NN 地区))) (NP (NN 河流))) (NP (NN 航运) (NN 价值)) (VP (VA 大))) )
33-①,在上海建立自由贸易试验区的优势区位条件有	农业基础好,None,,1,,,在 上海 建立 自由 贸易 试验区 的 优势 区位 条件 有 农业 基础 好,在 上海 建立 自由 贸易 试验区 的 优势 区位 条件 有 农业 基础 好,P loc VV JJ NN NN DEG NN NN NN VE NN NN VA,,,,,,,,,1,在 上海 建立 自由 贸易 试验区 的 优势 区位 条件 有 农业 基础 好,在 上海 建立 自由 贸易 试验区 的 优势 区位 条件 有 农业 基础 好,P loc VV JJ NN NN DEG NN NN NN VE NN NN VA,( (IP (VP (PP (P 在) (NP (NR 上海))) (VP (VV 建立) (NP (DNP (NP (NP (ADJP (JJ 自由)) (NP (NN 贸易))) (NP (NN 试验区))) (DEG 的)) (NP (NN 优势))))) (PRN (IP (IP (NP (NN 区位) (NN 条件)) (VP (VE 有) (NP (NN 农业)))) (IP (NP (NN 基础)) (VP (VA 好)))))) )
33-②,在上海建立自由贸易试验区的优势区位条件有	矿产资源丰富,None,,1,,,在 上海 建立 自由 贸易 试验区 的 优势 区位 条件 有 矿产 资源 丰富,在 上海 建立 自由 贸易 试验区 的 优势 区位 条件 有 矿产 资源 丰富,P loc VV JJ NN NN DEG NN NN NN VE NN NN VA,,,,,,,,,1,在 上海 建立 自由 贸易 试验区 的 优势 区位 条件 有 矿产 资源 丰富,在 上海 建立 自由 贸易 试验区 的 优势 区位 条件 有 矿产 资源 丰富,P loc VV JJ NN NN DEG NN NN NN VE NN NN VA,( (IP (IP (VP (PP (P 在) (NP (NR 上海))) (VP (VV 建立) (NP (DNP (NP (NP (ADJP (JJ 自由)) (NP (NN 贸易))) (NP (NN 试验区))) (DEG 的)) (NP (NN 优势)))))) (NP (NN 区位) (NN 条件)) (VP (VP (VE 有) (NP (NN 矿产) (NN 资源))) (VP (VA 丰富)))) )
33-③,在上海建立自由贸易试验区的优势区位条件有	水陆交通便利,None,,1,,,在 上海 建立 自由 贸易 试验区 的 优势 区位 条件 有 水陆 交通 便利,在 上海 建立 自由 贸易 试验区 的 优势 区位 条件 有 水陆 交通 便利,P loc VV JJ NN NN DEG NN NN NN VE NN NN VA,,,,,,,,,1,在 上海 建立 自由 贸易 试验区 的 优势 区位 条件 有 水陆 交通 便利,在 上海 建立 自由 贸易 试验区 的 优势 区位 条件 有 水陆 交通 便利,P loc VV JJ NN NN DEG NN NN NN VE NN NN NN,( (IP (VP (PP (P 在) (NP (NR 上海))) (VP (VV 建立) (NP (DNP (NP (NP (ADJP (JJ 自由)) (NP (NN 贸易))) (NP (NN 试验区))) (DEG 的)) (NP (NN 优势))))) (PRN (IP (IP (NP (NN 区位) (NN 条件)) (VP (VE 有) (NP (NN 水陆)))) (IP (NP (NN 交通)) (VP (VA 便利)))))) )
33-④,在上海建立自由贸易试验区的优势区位条件有	国家政策支持,None,,1,,,在 上海 建立 自由 贸易 试验区 的 优势 区位 条件 有 国家 政策 支持,在 上海 建立 自由 贸易 试验区 的 优势 区位 条件 有 国家 政策 支持,P loc VV JJ NN NN DEC NN NN NN VE NN NN NN,,,,,,,,,1,在 上海 建立 自由 贸易 试验区 的 优势 区位 条件 有 国家 政策 支持,在 上海 建立 自由 贸易 试验区 的 优势 区位 条件 有 国家 政策 支持,P loc VV JJ NN NN DEG NN NN NN VE NN NN VV,( (IP (NP (NP (CP (IP (VP (PP (P 在) (NP (NR 上海))) (VP (VV 建立) (NP (NP (ADJP (JJ 自由)) (NP (NN 贸易))) (NP (NN 试验区)))))) (DEC 的)) (NP (NN 优势))) (NP (NN 区位) (NN 条件))) (VP (VE 有) (NP (NN 国家) (NN 政策) (NN 支持)))) )
34-A,与欧盟自贸区相比，上海自贸区最具有潜力的优势是	技术,None,,1 5,,,与 欧盟 自贸区 相比 ， 上海 自贸区 最 具有 潜力 的 优势 是 技术,与 欧盟 自贸区 相比 ， 上海 自贸区 最 具有 潜力 的 优势 是 技术,P loc NN VV PU loc NN AD VV NN DEC NN VC NN,,,,,,,,,5,与 欧盟 自贸区 相比 ， 上海 自贸区 最 具有 潜力 的 优势 是 技术,与 欧盟 自贸区 相比 ， 上海 自贸区 最 具有 潜力 的 优势 是 技术,P loc NN VV PU loc NN AD VV NN DEC NN VC NN,( (IP (IP (VP (PP (P 与) (NP (NR 欧盟) (NN 自贸区))) (VP (VV 相比)))) (PU ，) (NP (CP (IP (NP (NP (NR 上海)) (NP (NN 自贸区))) (VP (ADVP (AD 最)) (VP (VV 具有) (NP (NN 潜力))))) (DEC 的)) (NP (NN 优势))) (VP (VC 是) (NP (NN 技术)))) )
34-B,与欧盟自贸区相比，上海自贸区最具有潜力的优势是	环境,None,,1 5,,,与 欧盟 自贸区 相比 ， 上海 自贸区 最 具有 潜力 的 优势 是 环境,与 欧盟 自贸区 相比 ， 上海 自贸区 最 具有 潜力 的 优势 是 环境,P loc NN VV PU loc NN AD VV NN DEC NN VC NN,,,,,,,,,5,与 欧盟 自贸区 相比 ， 上海 自贸区 最 具有 潜力 的 优势 是 环境,与 欧盟 自贸区 相比 ， 上海 自贸区 最 具有 潜力 的 优势 是 环境,P loc NN VV PU loc NN AD VV NN DEC NN VC NN,( (IP (IP (VP (PP (P 与) (NP (NR 欧盟) (NN 自贸区))) (VP (VV 相比)))) (PU ，) (NP (CP (IP (NP (NP (NR 上海)) (NP (NN 自贸区))) (VP (ADVP (AD 最)) (VP (VV 具有) (NP (NN 潜力))))) (DEC 的)) (NP (NN 优势))) (VP (VC 是) (NP (NN 环境)))) )
34-C,与欧盟自贸区相比，上海自贸区最具有潜力的优势是	市场,None,,1 5,,,与 欧盟 自贸区 相比 ， 上海 自贸区 最 具有 潜力 的 优势 是 市场,与 欧盟 自贸区 相比 ， 上海 自贸区 最 具有 潜力 的 优势 是 市场,P loc NN VV PU loc NN AD VV NN DEC NN VC NN,,,,,,,,,5,与 欧盟 自贸区 相比 ， 上海 自贸区 最 具有 潜力 的 优势 是 市场,与 欧盟 自贸区 相比 ， 上海 自贸区 最 具有 潜力 的 优势 是 市场,P loc NN VV PU loc NN AD VV NN DEC NN VC NN,( (IP (IP (VP (PP (P 与) (NP (NR 欧盟) (NN 自贸区))) (VP (VV 相比)))) (PU ，) (NP (CP (IP (NP (NP (NR 上海)) (NP (NN 自贸区))) (VP (ADVP (AD 最)) (VP (VV 具有) (NP (NN 潜力))))) (DEC 的)) (NP (NN 优势))) (VP (VC 是) (NP (NN 市场)))) )
34-D,与欧盟自贸区相比，上海自贸区最具有潜力的优势是	人才,None,,1 5,,,与 欧盟 自贸区 相比 ， 上海 自贸区 最 具有 潜力 的 优势 是 人才,与 欧盟 自贸区 相比 ， 上海 自贸区 最 具有 潜力 的 优势 是 人才,P loc NN VV PU loc NN AD VV NN DEC NN VC NN,,,,,,,,,5,与 欧盟 自贸区 相比 ， 上海 自贸区 最 具有 潜力 的 优势 是 人才,与 欧盟 自贸区 相比 ， 上海 自贸区 最 具有 潜力 的 优势 是 人才,P loc NN VV PU loc NN AD VV NN DEC NN VC NN,( (IP (IP (VP (PP (P 与) (NP (NR 欧盟) (NN 自贸区))) (VP (VV 相比)))) (PU ，) (NP (CP (IP (NP (NP (NR 上海)) (NP (NN 自贸区))) (VP (ADVP (AD 最)) (VP (VV 具有) (NP (NN 潜力))))) (DEC 的)) (NP (NN 优势))) (VP (VC 是) (NP (NN 人才)))) )
35-A,读图可知	两省土地利用结构相同,None,,,,,读 图 可知 两 省 土地 利用 结构 相同,读 图 可知 两 省 土地 利用 结构 相同,VV NN VV CD NN NN NN NN VA,,,,,,,,,,读图 可知 两 省 土地 利用 结构 相同,读图 可知 两 省 土地 利用 结构 相同,NN VV CD NN NN VV NN VA,( (IP (NP (CP (IP (VV 读))) (NP (NN 图))) (VP (VV 可知) (IP (NP (NP (QP (CD 两)) (NP (NN 省))) (NP (NN 土地) (NN 利用) (NN 结构))) (VP (VA 相同))))) )
35-B,读图可知	两省林地植被类型相同,None,,,6,,读 图 可知 两 省 林地 植被 类型 相同,读 图 可知 两 省 林地 植被 类型 相同,VV NN VV CD NN NN term NN VA,,,,,,,,,,读图 可知 两 省 林地 植被 类型 相同,读图 可知 两 省 林地 植被 类型 相同,NN VV CD NN NN term NN VA,( (IP (IP (VP (VV 读) (NP (NP (NP (IP (NP (NN 图)) (VP (VV 可知))) (QP (CD 两)) (NP (NN 省))) (NP (NN 林地) (NN 植被))) (NP (NN 类型))))) (VP (VA 相同))) )
35-C,读图可知	江苏省比陕西省农业用地比重大,None,,3 5,,,读 图 可知 江苏省 比 陕西省 农业 用地 比重 大,读 图 可知 江苏省 比 陕西省 农业 用地 比重 大,VV NN VV loc P loc NN NN NN VA,,,,,,,,,4,读图 可知 江苏省 比 陕西省 农业用地 比重 大,读图 可知 江苏省 比 陕西省 农业用地 比重 大,NN VV loc P loc NN NN NN JJ,( (IP (IP (VP (VP (VV 读) (NP (NN 图))) (VP (VV 可知) (NP (NR 江苏省))))) (VP (PP (P 比) (NP (NP (NP (NR 陕西省)) (NP (NN 农业) (NN 用地))) (NP (NN 比重)))) (VP (VA 大)))) )
35-D,读图可知	江苏省比陕西省城市化水平高,None,,3 5,,,读 图 可知 江苏省 比 陕西省 城市化 水平 高,读 图 可知 江苏省 比 陕西省 城市化 水平 高,VV NN VV loc P loc NN NN VA,,,,,,,,,4,读图 可知 江苏省 比 陕西省 城市化 水平 高,读图 可知 江苏省 比 陕西省 城市化 水平 高,NN VV loc P loc NN NN VA,( (IP (IP (VP (VP (VV 读) (NP (NN 图))) (VP (VV 可知) (NP (NR 江苏省))))) (PP (P 比) (NP (NR 陕西省))) (NP (NN 城市化) (NN 水平)) (VP (VA 高))) )
36-A,结合两省土地利用现状和地理背景可知	江苏省抵御旱涝灾害能力强,None,,10,12,,结合 两 省 土地 利用 现状 和 地理 背景 可知 江苏省 抵御 旱涝 灾害 能力 强,结合 两 省 土地 利用 现状 和 地理 背景 可知 江苏省 抵御 旱涝 灾害 能力 强,VV CD NN NN NN NN CC NN NN VV loc VV term NN NN VA,,,,,,,,,,结合 两 省 土地 利用 现状 和 地理 背景 可知 江苏省 抵御 旱涝 灾害 能力 强,结合 两 省 土地 利用 现状 和 地理 背景 可知 江苏省 抵御 旱涝 灾害 能力 强,VV CD NN NN NN NN CC NN NN VV loc VV term NN NN VA,( (IP (IP (IP (VP (VV 结合) (NP (NP (QP (CD 两)) (NP (NN 省))) (NP (NP (NN 土地) (NN 利用) (NN 现状)) (CC 和) (NP (NN 地理) (NN 背景)))))) (VP (VP (VV 可知) (NP (NR 江苏省))) (VP (VV 抵御) (NP (NN 旱涝))))) (IP (NP (NN 灾害) (NN 能力)) (VP (VA 强)))) )
36-B,结合两省土地利用现状和地理背景可知	江苏省第一产业产值大于第二产业,None,,10,11 14,,结合 两 省 土地 利用 现状 和 地理 背景 可知 江苏省 第一产业 产值 大于 第二产业,结合 两 省 土地 利用 现状 和 地理 背景 可知 江苏省 第一 产业 产值 大于 第二 产业,VV CD NN NN NN NN CC NN NN VV loc term NN VV term,,,,,,,,,,结合 两 省 土地 利用 现状 和 地理 背景 可知 江苏省 第一产业 产值 大于 第二产业,结合 两 省 土地 利用 现状 和 地理 背景 可知 江苏省 第一产业 产值 大于 第二产业,VV CD NN NN NN NN CC NN NN VV loc term NN VV term,( (IP (VP (VP (VV 结合) (NP (NP (QP (CD 两)) (NP (NN 省))) (NP (NP (NN 土地) (NN 利用) (NN 现状)) (CC 和) (NP (NN 地理) (NN 背景))))) (VP (VV 可知) (NP (NP (NR 江苏省)) (NP (NN 第一产业) (NN 产值)))) (VP (VV 大于) (NP (NN 第二产业))))) )
36-C,结合两省土地利用现状和地理背景可知	陕西省耕地在省内均匀分布,None,,10,,,结合 两 省 土地 利用 现状 和 地理 背景 可知 陕西省 耕地 在 省内 均匀 分布,结合 两 省 土地 利用 现状 和 地理 背景 可知 陕西省 耕地 在 省内 均匀 分布,VV CD NN NN NN NN CC NN NN VV loc NN P NN VA VV,,,,,,,,,,结合 两 省 土地 利用 现状 和 地理 背景 可知 陕西省 耕地 在 省内 均匀 分布,结合 两 省 土地 利用 现状 和 地理 背景 可知 陕西省 耕地 在 省内 均匀 分布,VV CD NN NN NN NN CC NN NN VV loc NN P NN VA VV,( (IP (NP (CP (IP (VP (VP (VV 结合) (NP (NP (QP (CD 两)) (NP (NN 省))) (NP (NP (NN 土地) (NN 利用) (NN 现状)) (CC 和) (NP (NN 地理) (NN 背景))))) (VP (VV 可知) (NP (NR 陕西省)))))) (NP (NN 耕地))) (VP (PP (P 在) (NP (CP (IP (NP (NN 省内)) (VP (VA 均匀)))))) (VP (VV 分布)))) )
36-D,结合两省土地利用现状和地理背景可知	陕西省林业产值占全省国民生产总值的50.3%,None,,10,,19,结合 两 省 土地 利用 现状 和 地理 背景 可知 陕西省 林业 产值 占 全省 国民 生产 总值 的 50.3%,结合 两 省 土地 利用 现状 和 地理 背景 可知 陕西省 林业 产值 占 全省 国民 生产 总值 的 50.3%,VV CD NN NN NN NN CC NN NN VV loc NN NN VV DT NN NN NN DEG num,,,,,,,,,,结合 两 省 土地 利用 现状 和 地理 背景 可知 陕西省 林业 产值 占 全省 国民 生产 总值 的 50.3%,结合 两 省 土地 利用 现状 和 地理 背景 可知 陕西省 林业 产值 占 全省 国民 生产 总值 的 50.3%,VV CD NN NN NN NN CC NN NN VV loc NN NN VV DT NN NN NN DEG num,( (IP (IP (VP (VP (VV 结合) (NP (NP (QP (CD 两)) (NP (NN 省))) (NP (NP (NN 土地) (NN 利用) (NN 现状)) (CC 和) (NP (NN 地理) (NN 背景))))) (VP (VV 可知) (NP (NR 陕西省))))) (NP (NN 林业) (NN 产值)) (VP (VV 占) (QP (DNP (NP (DP (DT 全省)) (NP (NN 国民) (NN 生产) (NN 总值))) (DEG 的)) (QP (CD 50.3%))))) )
