编号,文本,拆分信息,时间,地点,术语,数量词,（粗粒度）分词,（细粒度）分词,词性,成分分析,简化模板,完整模板,简化模板线索词,完整模板线索词,简化模板类型,完整模板类型,（auto）时间,（auto）地点,（auto粗粒度）分词,（auto细粒度）分词,（auto）词性,（auto）成分分析
1-A,当好奇号探测车登陆火星表面时，美国肯尼迪航天中心（28°30′N，80°42′W）的区时是	8月5日13时31分,None,17,4 8,,10 12,当 好奇号 探测车 登陆 火星 表面 时 ， 美国肯尼迪航天中心 （ 28°30′N ， 80°42′W ） 的 区时 是 8月5日13时31分,当 好奇号 探测车 登陆 火星 表面 时 ， 美国 肯尼迪 航天 中心 （ 28° 30 ′ N ， 80° 42 ′ W ） 的 区时 是 8月 5日 13时 31分,P NN NN VV loc NN LC PU loc PU num PU num PU DEG NN VC time,,时间限定_0（好奇号探测车登陆火星表面）实体信息陈述_1（美国肯尼迪航天中心（28°30′N，80°42′W），区时，8月5日13时31分）,时间限定_0（好奇号探测车登陆火星表面）实体信息陈述_1（美国肯尼迪航天中心（28°30′N，80°42′W），区时，8月5日13时31分）,,,时间限定 实体信息陈述,时间限定 实体信息陈述,17,,当好 奇号 探测车 登陆 火星 表面 时 ， 美国 肯尼迪 航天 中心 （ 28° 30 ′ N ， 80° 42 ′ W ） 的 区时 是 8月5日13时31分,当好 奇号 探测车 登陆 火星 表面 时 ， 美国 肯尼迪 航天 中心 （ 28° 30 ′ N ， 80° 42 ′ W ） 的 区时 是 8月 5日 13时 31分,P NN NN VV loc NN LC PU loc PU num PU num PU DEG NN VC time,( (IP (PP (P 当) (LCP (IP (NP (NN 好奇号) (NN 探测车)) (VP (VV 登陆) (NP (NR 火星) (NN 表面)))) (LC 时))) (PU ，) (NP (DNP (NP (NR 美国肯尼迪航天中心) (PRN (PU （) (QP (CD 28°30′N) (PU ，) (CD 80°42′W)) (PU ）))) (DEG 的)) (NP (NN 区时))) (VP (VC 是) (NP (NT 8月5日13时31分)))) )
17-D,据图可判断	高纬度地区雪线高度与气温变化趋势一致,None,,,4,,据 图 可 判断 高纬度 地区 雪线 高度 与 气温 变化 趋势 一致,据 图 可 判断 高 纬度 地区 雪线 高度 与 气温 变化 趋势 一致,P NN VV VV term NN NN NN P NN NN NN VV,,匹配_0（高纬度地区雪线高度变化，高纬度地区降水量变化）,匹配_0（趋势_1（高纬度地区雪线高度，变化），趋势_2（高纬度地区降水量，变化））,0_12,0_12 1_11 2_11,匹配,匹配 趋势,,,据图 可 判断 高 纬度 地区 雪线 高度 与 气温 变化 趋势 一致,据图 可 判断 高 纬度 地区 雪线 高度 与 气温 变化 趋势 一致,NN VV VV term NN NN AD P NN NN NN VV,( (IP (IP (VP (PP (P 据) (NP (NN 图))) (VP (VV 可) (VP (VV 判断) (NP (NP (NN 高纬度) (NN 地区)) (NP (NN 雪线) (NN 高度))))))) (VP (PP (P 与) (NP (NN 气温) (NN 变化) (NN 趋势))) (VP (VV 一致)))) )
18-A,全球气候变暖可能导致	全球各地降水减少,None,,,,,全球 气候 变 暖 可能 导致 全球 各 地 降水 减少,全球 气候 变 暖 可能 导致 全球 各 地 降水 减少,NN NN VV VA VV VV NN DT NN NN VV,,因果_0（全球气候变暖，全球各地降水减少）,因果_0（全球气候变暖，趋势_1（全球各地降水，减少））,0_5,0_5 1_10,因果,因果 趋势,,,全球 气候 变暖 可能 导致 全球 各 地 降水 减少,全球 气候 变暖 可能 导致 全球 各 地 降水 减少,NN NN VV DER VV VV NN DT NN VV VV,( (IP (NP (NN 全球) (NN 气候)) (VP (VRD (VV 变) (VA 暖)) (VP (VV 可能) (VP (VV 导致) (IP (NP (NP (NP (NN 全球)) (DP (DT 各)) (NP (NN 地))) (NP (NN 降水))) (VP (VV 减少))))))) )
18-B,全球气候变暖可能导致	低纬度山地雪线下降,None,,,6,,全球 气候 变 暖 可能 导致 低纬度 山地 雪线 下降,全球 气候 变 暖 可能 导致 低 纬度 山地 雪线 下降,NN NN VV VA VV VV NN NN NN VV,,因果_0（全球气候变暖，低纬度山地雪线下降）,因果_0（全球气候变暖，趋势_1（低纬度山地雪线，下降））,0_5,0_5 1_9,因果,因果 趋势,,,全球 气候 变暖 可能 导致 低 纬度 山地 雪线 下降,全球 气候 变暖 可能 导致 低 纬度 山地 雪线 下降,NN NN VV DER VV VV NN NN NN VV,( (IP (NP (NN 全球) (NN 气候)) (VP (VRD (VV 变) (VA 暖)) (VP (VV 可能) (VP (VV 导致) (IP (NP (NP (NN 低纬度) (NN 山地)) (NP (NN 雪线))) (VP (VV 下降))))))) )
18-C,全球气候变暖可能导致	高纬度地区农业产量增大,None,,,6,,全球 气候 变 暖 可能 导致 高纬度 地区 农业 产量 增大,全球 气候 变 暖 可能 导致 高 纬度 地区 农业 产量 增大,NN NN VV VA VV VV NN NN NN NN VV,,因果_0（全球气候变暖，高纬度地区农业产量增大）,因果_0（全球气候变暖，趋势_1（高纬度地区农业产量，增大））,0_5,0_5 1_10,因果,因果 趋势,,,全球 气候 变暖 可能 导致 高 纬度 地区 农业 产量 增大,全球 气候 变暖 可能 导致 高 纬度 地区 农业 产量 增大,NN NN VV DER VV VV NN NN NN NN VV,( (IP (NP (NN 全球) (NN 气候)) (VP (VRD (VV 变) (VA 暖)) (VP (VV 可能) (VP (VV 导致) (IP (NP (NP (NN 高纬度) (NN 地区)) (NP (NN 农业) (NN 产量))) (VP (VV 增大))))))) )
18-D,全球气候变暖可能导致	中纬度温度带北移,None,,,6,,全球 气候 变 暖 可能 导致 中纬度 温度带 北移,全球 气候 变 暖 可能 导致 中 纬度 温度带 北移,NN NN VV VA VV VV term NN VV,,因果_0（全球气候变暖，中纬度温度带北移）,因果_0（全球气候变暖，趋势_1（中纬度温度带，北移））,0_5,0_5 1_8,因果,因果 趋势,,,全球 气候 变暖 可能 导致 中 纬度 温度 带北移,全球 气候 变暖 可能 导致 中 纬度 温度 带北移,NN NN VV DER VV VV NN NN VV NR,( (IP (NP (NN 全球) (NN 气候)) (VP (VRD (VV 变) (VA 暖)) (VP (VV 可能) (VP (VV 导致) (IP (NP (NN 中纬度) (NN 温度带)) (VP (VV 北移))))))) )
19-A,限制温室气体的排放，直接减弱的主要是	大气逆辐射,None,,,11,,限制 温室 气体 的 排放 ， 直接 减弱 的 主要 是 大气逆辐射,限制 温室 气体 的 排放 ， 直接 减弱 的 主要 是 大气 逆 辐射,VV NN NN DEC NN PU AD VV DEC AD VC term,,一般陈述_0（限制温室气体的排放，直接减弱的主要是 大气逆辐射）,一般陈述_0（限制温室气体的排放，直接减弱的主要是 大气逆辐射）,,,一般陈述,一般陈述,,,限制 温室 气体 的 排放 ， 直接 减弱 的 主要 是 大气逆辐射,限制 温室 气体 的 排放 ， 直接 减弱 的 主要 是 大气逆辐射,VV NN NN DEG NN PU AD VV DEC JJ VC term,( (IP (NP (CP (IP (VP (VV 限制) (NP (NN 温室) (NN 气体)))) (DEC 的)) (NP (NN 排放))) (PU ，) (NP (CP (IP (VP (ADVP (AD 直接)) (VP (VV 减弱)))) (DEC 的))) (VP (ADVP (AD 主要)) (VP (VC 是) (NP (NN 大气逆辐射))))) )
19-B,限制温室气体的排放，直接减弱的主要是	大气对太阳辐射的吸收作用,None,,,13,,限制 温室 气体 的 排放 ， 直接 减弱 的 主要 是 大气 对 太阳辐射 的 吸收 作用,限制 温室 气体 的 排放 ， 直接 减弱 的 主要 是 大气 对 太阳 辐射 的 吸收 作用,VV NN NN DEC NN PU AD VV DEC AD VC NN P term DEG NN NN,,一般陈述_0（制温室气体的排放，直接减弱的主要是 大气对太阳辐射的吸收作用）,一般陈述_0（制温室气体的排放，直接减弱的主要是 大气对太阳辐射的吸收作用）,,,一般陈述,一般陈述,,,限制 温室 气体 的 排放 ， 直接 减弱 的 主要 是 大气 对 太阳辐射 的 吸收 作用,限制 温室 气体 的 排放 ， 直接 减弱 的 主要 是 大气 对 太阳辐射 的 吸收 作用,VV NN NN DEG NN PU AD VV DEC JJ VC NN P term DEG NN NN,( (IP (NP (CP (IP (VP (VV 限制) (NP (NN 温室) (NN 气体)))) (DEC 的)) (NP (NN 排放))) (PU ，) (NP (CP (IP (VP (ADVP (AD 直接)) (VP (VV 减弱)))) (DEC 的))) (VP (ADVP (AD 主要)) (VP (VC 是) (NP (NP (NN 大气)) (DNP (PP (P 对) (NP (NN 太阳辐射))) (DEG 的)) (NP (NN 吸收) (NN 作用)))))) )
19-C,限制温室气体的排放，直接减弱的主要是	大气对地面辐射的吸收作用,None,,,13,,限制 温室 气体 的 排放 ， 直接 减弱 的 主要 是 大气 对 地面辐射 的 吸收 作用,限制 温室 气体 的 排放 ， 直接 减弱 的 主要 是 大气 对 地面 辐射 的 吸收 作用,VV NN NN DEC NN PU AD VV DEC AD VC NN P term DEG NN NN,,一般陈述_0（限制温室气体的排放，直接减弱的主要是 大气对地面辐射的吸收作用）,一般陈述_0（限制温室气体的排放，直接减弱的主要是 大气对地面辐射的吸收作用）,,,一般陈述,一般陈述,,,限制 温室 气体 的 排放 ， 直接 减弱 的 主要 是 大气 对 地面辐射 的 吸收 作用,限制 温室 气体 的 排放 ， 直接 减弱 的 主要 是 大气 对 地面辐射 的 吸收 作用,VV NN NN DEG NN PU AD VV DEC JJ VC NN P term DEG NN NN,( (IP (NP (CP (IP (VP (VV 限制) (NP (NN 温室) (NN 气体)))) (DEC 的)) (NP (NN 排放))) (PU ，) (NP (CP (IP (VP (ADVP (AD 直接)) (VP (VV 减弱)))) (DEC 的))) (VP (ADVP (AD 主要)) (VP (VC 是) (NP (NP (NN 大气)) (DNP (PP (P 对) (NP (NN 地面辐射))) (DEG 的)) (NP (NN 吸收) (NN 作用)))))) )
19-D,限制温室气体的排放，直接减弱的主要是	大气对太阳辐射的反射、散射作用,None,,,13,,限制 温室 气体 的 排放 ， 直接 减弱 的 主要 是 大气 对 太阳辐射 的 反射 、 散射 作用,限制 温室 气体 的 排放 ， 直接 减弱 的 主要 是 大气 对 太阳 辐射 的 反射 、 散射 作用,VV NN NN DEC NN PU AD VV DEC AD VC NN P term DEG NN PU NN NN,,一般陈述_0（限制温室气体的排放，直接减弱的主要是 大气对太阳辐射的反射、散射作用）,一般陈述_0（限制温室气体的排放，直接减弱的主要是 大气对太阳辐射的反射、散射作用）,,,一般陈述,一般陈述,,,限制 温室 气体 的 排放 ， 直接 减弱 的 主要 是 大气 对 太阳辐射 的 反射 、 散射 作用,限制 温室 气体 的 排放 ， 直接 减弱 的 主要 是 大气 对 太阳辐射 的 反射 、 散射 作用,VV NN NN DEG NN PU AD VV DEC JJ VC NN P term DEG NN PU NN NN,( (IP (NP (CP (IP (VP (VV 限制) (NP (NN 温室) (NN 气体)))) (DEC 的)) (NP (NN 排放))) (PU ，) (NP (CP (IP (VP (ADVP (AD 直接)) (VP (VV 减弱)))) (DEC 的))) (VP (ADVP (AD 主要)) (VP (VC 是) (NP (NP (NN 大气)) (DNP (PP (P 对) (NP (NN 太阳辐射))) (DEG 的)) (NP (NN 反射) (PU 、) (NN 散射)) (NP (NN 作用)))))) )
20-A,三省区的排序与图序相符的是	藏、晋、沪,None,,9 11 13,,,三 省区 的 排序 与 图序 相符 的 是 藏 、 晋 、 沪,三 省区 的 排序 与 图序 相符 的 是 藏 、 晋 、 沪,CD NN DEG NN CC NN VV DEC VC loc PU loc PU loc,,排序_0（图序，列表_1（藏，晋，沪））,排序_0（图序，列表_1（藏，晋，沪））,0_3,0_3,排序 列表,排序 列表,,,三 省区 的 排序 与 图序 相符 的 是 藏 、 晋 、 沪,三 省区 的 排序 与 图序 相符 的 是 藏 、 晋 、 沪,CD NN DEG NN CC NN VV DEC VC loc PU loc PU loc,( (IP (NP (CP (IP (NP (DNP (NP (QP (CD 三)) (NP (NN 省区))) (DEG 的)) (NP (NN 排序) (CC 与) (NN 图序))) (VP (VV 相符))) (DEC 的))) (VP (VC 是) (NP (NR 藏) (PU 、) (NR 晋) (PU 、) (NR 沪)))) )
20-B,三省区的排序与图序相符的是	沪、藏、晋,None,,9 11 13,,,三 省区 的 排序 与 图序 相符 的 是 沪 、 藏 、 晋,三 省区 的 排序 与 图序 相符 的 是 沪 、 藏 、 晋,CD NN DEG NN CC NN VV DEC VC loc PU loc PU loc,,排序_0（图序，列表_1（沪，藏，晋））,排序_0（图序，列表_1（沪，藏，晋））,0_3,0_3,排序 列表,排序 列表,,,三 省区 的 排序 与 图序 相符 的 是 沪 、 藏 、 晋,三 省区 的 排序 与 图序 相符 的 是 沪 、 藏 、 晋,CD NN DEG NN CC NN VV DEC VC loc PU loc PU loc,( (IP (NP (CP (IP (NP (DNP (NP (QP (CD 三)) (NP (NN 省区))) (DEG 的)) (NP (NN 排序) (CC 与) (NN 图序))) (VP (VV 相符))) (DEC 的))) (VP (VC 是) (NP (NR 沪) (PU 、) (NR 藏) (PU 、) (NR 晋)))) )
20-C,三省区的排序与图序相符的是	晋、沪、藏,None,,9 11 13,,,三 省区 的 排序 与 图序 相符 的 是 晋 、 沪 、 藏,三 省区 的 排序 与 图序 相符 的 是 晋 、 沪 、 藏,CD NN DEG NN CC NN VV DEC VC loc PU loc PU loc,,排序_0（图序，列表_1（晋，沪，藏））,排序_0（图序，列表_1（晋，沪，藏））,0_3,0_3,排序 列表,排序 列表,,,三 省区 的 排序 与 图序 相符 的 是 晋 、 沪 、 藏,三 省区 的 排序 与 图序 相符 的 是 晋 、 沪 、 藏,CD NN DEG NN CC NN VV DEC VC loc PU loc PU loc,( (IP (NP (CP (IP (NP (DNP (NP (QP (CD 三)) (NP (NN 省区))) (DEG 的)) (NP (NN 排序) (CC 与) (NN 图序))) (VP (VV 相符))) (DEC 的))) (VP (VC 是) (NP (NR 晋) (PU 、) (NR 沪) (PU 、) (NR 藏)))) )
20-D,三省区的排序与图序相符的是	晋、藏、沪,None,,9 11 13,,,三 省区 的 排序 与 图序 相符 的 是 晋 、 藏 、 沪,三 省区 的 排序 与 图序 相符 的 是 晋 、 藏 、 沪,CD NN DEG NN CC NN VV DEC VC loc PU loc PU loc,,排序_0（图序，列表_1（晋，藏，沪））,排序_0（图序，列表_1（晋，藏，沪））,0_3,0_3,排序 列表,排序 列表,,,三 省区 的 排序 与 图序 相符 的 是 晋 、 藏 、 沪,三 省区 的 排序 与 图序 相符 的 是 晋 、 藏 、 沪,CD NN DEG NN CC NN VV DEC VC loc PU loc PU loc,( (IP (NP (CP (IP (NP (DNP (NP (QP (CD 三)) (NP (NN 省区))) (DEG 的)) (NP (NN 排序) (CC 与) (NN 图序))) (VP (VV 相符))) (DEC 的))) (VP (VC 是) (NP (NR 晋) (PU 、) (NR 藏) (PU 、) (NR 沪)))) )
21-A,下列关于三省区的叙述，正确的是	甲省区的自然条件限制了农业的发展,None,,,,,下列 关于 三 省区 的 叙述 ， 正确 的 是 甲 省区 的 自然 条件 限制 了 农业 的 发展,下列 关于 三 省区 的 叙述 ， 正确 的 是 甲 省区 的 自然 条件 限制 了 农业 的 发展,JJ P CD NN DEG NN PU VA DEC VC NN NN DEG NN NN VV AS NN DEG NN,,影响_0（甲省区的自然条件，甲省区的农业发展，限制）,影响_0（甲省区的自然条件，甲省区的农业发展，限制）,0_15,0_15,影响,影响,,,下列 关于 三省区 的 叙述 ， 正确 的 是 甲 省区 的 自然 条件 限制 了 农业 的 发展,下列 关于 三省区 的 叙述 ， 正确 的 是 甲 省区 的 自然 条件 限制 了 农业 的 发展,NT P CD NN DEG NN PU VA DEC VC M NN DEG NN NN VV AS NN DEG NN,( (IP (NP (ADJP (JJ 下列)) (DNP (PP (P 关于) (NP (DNP (NP (QP (CD 三)) (NP (NN 省区))) (DEG 的)) (UCP (NP (NN 叙述)) (PU ，) (IP (NP (CP (IP (VP (VA 正确))) (DEC 的))) (VP (VC 是) (NP (NN 甲))))) (NP (NN 省区)))) (DEG 的)) (NP (NN 自然) (NN 条件))) (VP (VV 限制) (AS 了) (NP (DNP (NP (NN 农业)) (DEG 的)) (NP (NN 发展))))) )
21-B,下列关于三省区的叙述，正确的是	乙省区第三产业的发展受益于发达的交通,None,,,12,,下列 关于 三 省区 的 叙述 ， 正确 的 是 乙 省区 第三产业 的 发展 受益 于 发达 的 交通,下列 关于 三 省区 的 叙述 ， 正确 的 是 乙 省区 第三 产业 的 发展 受益 于 发达 的 交通,JJ P CD NN DEG NN PU VA DEC VC NN NN term DEG NN VV P VA DEC NN,,影响_0（发达的交通，乙省区第三产业的发展，受益）,影响_0（发达的交通，乙省区第三产业的发展，受益）,0_15,0_15,影响,影响,,,下列 关于 三省区 的 叙述 ， 正确 的 是 乙 省区 第三产业 的 发展 受 益于 发达 的 交通,下列 关于 三省区 的 叙述 ， 正确 的 是 乙 省区 第三产业 的 发展 受 益于 发达 的 交通,NT P CD NN DEG NN PU VA DEC VC NN NN OD DEG NN VV NN VA DEC NN,( (IP (NP (ADJP (JJ 下列)) (DNP (PP (P 关于) (NP (QP (CD 三)) (NP (NN 省区)))) (DEG 的)) (NP (NN 叙述))) (PU ，) (NP (CP (IP (VP (VA 正确))) (DEC 的))) (VP (VC 是) (IP (NP (DNP (NP (NN 乙) (NN 省区) (NN 第三产业)) (DEG 的)) (NP (NN 发展))) (VP (VV 受益) (PP (P 于) (NP (CP (IP (VP (VA 发达))) (DEC 的)) (NP (NN 交通)))))))) )
21-C,下列关于三省区的叙述，正确的是	丙省区环境污染严重,None,,,,,下列 关于 三 省区 的 叙述 ， 正确 的 是 丙 省区 环境 污染 严重,下列 关于 三 省区 的 叙述 ， 正确 的 是 丙 省区 环境 污染 严重,JJ P CD NN DEG NN PU VA DEC VC NN NN NN NN VA,,实体信息陈述_0（丙省区，环境污染严重）,实体信息陈述_0（丙省区，环境污染严重）,,,实体信息陈述,实体信息陈述,,,下列 关于 三省区 的 叙述 ， 正确 的 是 丙 省区 环境 污染 严重,下列 关于 三省区 的 叙述 ， 正确 的 是 丙 省区 环境 污染 严重,NT P CD NN DEG NN PU VA DEC VC NN NN NN NN VA,( (IP (NP (ADJP (JJ 下列)) (DNP (PP (P 关于) (NP (QP (CD 三)) (NP (NN 省区)))) (DEG 的)) (NP (NN 叙述))) (PU ，) (NP (CP (IP (VP (VA 正确))) (DEC 的))) (VP (VC 是) (IP (NP (NP (NN 丙) (NN 省区)) (NP (NN 环境) (NN 污染))) (VP (VA 严重))))) )
21-D,下列关于三省区的叙述，正确的是	三省区均受益于西气东输工程,None,,,,,下列 关于 三 省区 的 叙述 ， 正确 的 是 三 省区 均 受益 于 西气东输 工程,下列 关于 三 省区 的 叙述 ， 正确 的 是 三 省区 均 受益 于 西气东输 工程,JJ P CD NN DEG NN PU VA DEC VC CD NN AD VV P NN NN,,影响_0（西气东输工程，三省区，受益）,影响_0（西气东输工程，三省区，受益）,0_13,0_13,影响,影响,,,下列 关于 三省区 的 叙述 ， 正确 的 是 三省区 均 受 益于 西气东 输 工程,下列 关于 三省区 的 叙述 ， 正确 的 是 三省区 均 受 益于 西气东 输 工程,NT P CD NN DEG NN PU VA DEC VC CD NN AD VV NN NN NN NN NN NN,( (IP (NP (ADJP (JJ 下列)) (DNP (PP (P 关于) (NP (QP (CD 三)) (NP (NN 省区)))) (DEG 的)) (NP (NN 叙述))) (PU ，) (NP (CP (IP (VP (VA 正确))) (DEC 的))) (VP (VC 是) (IP (NP (QP (CD 三)) (NP (NN 省区))) (VP (ADVP (AD 均)) (VP (VV 受益) (PP (P 于) (NP (NN 西气东输) (NN 工程)))))))) )
22-A,据图判断，2011年我国	城市化水平不足50%,None,4,,,9,据 图 判断 ， 2011年 我国 城市化 水平 不足 50%,据 图 判断 ， 2011年 我国 城市化 水平 不足 50%,P NN VV PU time NN NN NN VA num,,时间限定_1（2011年）实体信息陈述_0（我国城市化水平，不足50%）,时间限定_1（2011年）实体信息陈述_0（我国城市化水平，不足50%）,,,实体信息陈述 时间限定,实体信息陈述 时间限定,4,,据 图 判断 ， 2011年 我国 城市化 水平 不足 50%,据 图 判断 ， 2011年 我国 城市化 水平 不足 50%,P NN NN PU time NR NN NN VA num,( (IP (PP (P 据) (IP (NP (NN 图)) (VP (VV 判断)))) (PU ，) (NP (NT 2011年) (NN 我国)) (NP (NN 城市化) (NN 水平)) (VP (VA 不足) (QP (CD 50%)))) )
22-B,据图判断，2011年我国	劳动力严重不足,None,4,,,,据 图 判断 ， 2011年 我国 劳动力 严重 不足,据 图 判断 ， 2011年 我国 劳动力 严重 不足,P NN VV PU time NN NN AD VA,,时间限定_1（2011年）实体信息陈述_0（我国劳动力，严重不足）,时间限定_1（2011年）实体信息陈述_0（我国劳动力，严重不足）,,,实体信息陈述 时间限定,实体信息陈述 时间限定,4,,据 图 判断 ， 2011年 我国 劳动力 严重 不足,据 图 判断 ， 2011年 我国 劳动力 严重 不足,P NN NN PU time NR NN VA VA,( (IP (PP (P 据) (IP (NP (NN 图)) (VP (VV 判断)))) (PU ，) (NP (NT 2011年)) (NP (NN 我国) (NN 劳动力)) (VP (ADVP (AD 严重)) (VP (VA 不足)))) )
22-C,据图判断，2011年我国	人口性别比严重失衡,None,4,,,,据 图 判断 ， 2011年 我国 人口 性别比 严重 失衡,据 图 判断 ， 2011年 我国 人口 性别比 严重 失衡,P NN VV PU time NN NN NN AD VV,,时间限定_1（2011年）实体信息陈述_0（我国人口性别比，严重失衡）,时间限定_1（2011年）实体信息陈述_0（我国人口性别比，严重失衡）,,,实体信息陈述 时间限定,实体信息陈述 时间限定,4,,据 图 判断 ， 2011年 我国 人口性别比 严重 失衡,据 图 判断 ， 2011年 我国 人口性别比 严重 失衡,P NN NN PU time NR NN NN VA VV,( (IP (PP (P 据) (IP (NP (NN 图)) (VP (VV 判断)))) (PU ，) (NP (NT 2011年) (NN 我国) (NN 人口) (NN 性别比)) (VP (ADVP (AD 严重)) (VP (VV 失衡)))) )
22-D,据图判断，2011年我国	老龄化问题严重,None,4,,,,据 图 判断 ， 2011年 我国 老龄化 问题 严重,据 图 判断 ， 2011年 我国 老龄化 问题 严重,P NN VV PU time NN NN NN VA,,时间限定_1（2011年）实体信息陈述_0（我国老龄化问题，严重）,时间限定_1（2011年）实体信息陈述_0（我国老龄化问题，严重）,,,实体信息陈述 时间限定,实体信息陈述 时间限定,4,,据 图 判断 ， 2011年 我国 老龄化 问题 严重,据 图 判断 ， 2011年 我国 老龄化 问题 严重,P NN NN PU time NR NN NN VA,( (IP (PP (P 据) (IP (NP (NN 图)) (VP (VV 判断)))) (PU ，) (NP (NT 2011年) (NN 我国) (NN 老龄化)) (NP (NN 问题)) (VP (VA 严重))) )
23-A,2000年我国人口总数为129533万人。2011年末我国大陆总人口为134735万人。由此可知我国	人口自然增长率高,None,0 8,,21,5 14,2000年 我国 人口 总数 为 129533万 人 。 2011年末 我国 大陆 总 人口 为 134735万 人 。 由此 可 知 我国 人口自然增长率 高,2000年 我国 人口 总数 为 129533万 人 。 2011年 末 我国 大陆 总 人口 为 134735万 人 。 由此 可 知 我国 人口 自然 增长率 高,NT NN NN NN VC CD NN PU CD NN NN JJ NN VC CD NN PU AD VV VV NN NN VA,,因果_0（2000年我国人口总数为129533万人&#44;2011年末我国大陆总人口为134735万人，我国人口自然增长率高）,因果_4（列表_5（时间限定_0（2000年）实体信息陈述_1（我国人口总数，129533万人时），时间限定_2（2011年末）实体信息陈述_3（我国大陆总人口，134735万人）），实体信息陈述_7（我国人口自然增长率，高））,0_17,4_17,因果,时间限定 实体信息陈述 因果 列表,0 8,,2000年 我国 人口 总数 为 129533万 人 。 2011年 末 我国 大陆 总人口 为 134735万 人 。 由此 可 知 我国 人口自然增长率 高,2000年 我国 人口 总数 为 129533万 人 。 2011年 末 我国 大陆 总人口 为 134735万 人 。 由此 可 知 我国 人口自然增长率 高,NT NR NN NN VC CD NN PU CD NR NN JJ NN VC CD NN PU AD VV VV NN NN VA,( (IP (IP (NP (NP (NT 2000年) (NN 我国)) (NP (NN 人口) (NN 总数))) (VP (VC 为) (NP (QP (CD 129533万)) (NP (NN 人))))) (PU 。) (IP (IP (NP (QP (CD 2011年末)) (NP (NN 我国))) (NP (NP (NN 大陆)) (ADJP (JJ 总)) (NP (NN 人口))) (VP (VC 为) (NP (QP (CD 134735万)) (NP (NN 人))))) (PU 。) (IP (VP (ADVP (AD 由此)) (VP (VV 可) (VP (VV 知) (IP (NP (NN 我国) (NN 人口自然增长率)) (VP (VA 高))))))))) )
23-B,2000年我国人口总数为129533万人。2011年末我国大陆总人口为134735万人。由此可知我国	人口出生率高,None,0 8,,21,5 14,2000年 我国 人口 总数 为 129533万 人 。 2011年末 我国 大陆 总 人口 为 134735万 人 。 由此 可 知 我国 人口出生率 高,2000年 我国 人口 总数 为 129533万 人 。 2011年 末 我国 大陆 总 人口 为 134735万 人 。 由此 可 知 我国 人口 出生率 高,NT NN NN NN VC CD NN PU CD NN NN JJ NN VC CD NN PU AD VV VV NN NN VA,,因果_0（2000年我国人口总数为129533万人&#44;2011年末我国大陆总人口为134735万人，我国人口出生率高）,因果_4（列表_5（时间限定_0（2000年）实体信息陈述_1（我国人口总数，129533万人时），时间限定_2（2011年末）实体信息陈述_3（我国大陆总人口，134735万人）），实体信息陈述_7（我国人口出生率高，高））,0_17,4_17,因果,时间限定 实体信息陈述 因果 列表,0 8,,2000年 我国 人口 总数 为 129533万 人 。 2011年 末 我国 大陆 总人口 为 134735万 人 。 由此 可 知 我国 人口 出生率 高,2000年 我国 人口 总数 为 129533万 人 。 2011年 末 我国 大陆 总人口 为 134735万 人 。 由此 可 知 我国 人口 出生率 高,NT NR NN NN VC CD NN PU CD NR NN JJ NN VC CD NN PU AD VV VV NN NN VA,( (IP (IP (NP (NP (NT 2000年) (NN 我国)) (NP (NN 人口) (NN 总数))) (VP (VC 为) (NP (QP (CD 129533万)) (NP (NN 人))))) (PU 。) (IP (IP (NP (QP (CD 2011年末)) (NP (NN 我国))) (NP (NP (NN 大陆)) (ADJP (JJ 总)) (NP (NN 人口))) (VP (VC 为) (NP (QP (CD 134735万)) (NP (NN 人))))) (PU 。) (IP (VP (ADVP (AD 由此)) (VP (VV 可) (VP (VV 知) (IP (NP (NN 我国) (NN 人口出生率)) (VP (VA 高))))))))) )
