编号,文本,拆分信息,时间,地点,术语,数量词,（粗粒度）分词,（细粒度）分词,词性,成分分析,简化模板,完整模板,简化模板线索词,完整模板线索词,简化模板类型,完整模板类型,（auto）时间,（auto）地点,（auto粗粒度）分词,（auto细粒度）分词,（auto）词性,（auto）成分分析
1-A,2010年10月1日18时59分57秒，我国“嫦娥二号”卫星在西昌点火升空，准确入轨。该卫星	到达了河外星系,None,0,9,20,,2010年10月1日18时59分57秒 ， 我国 “ 嫦娥 二号 ” 卫星 在 西昌 点火 升空 ， 准确 入轨 。 该 卫星 到达 了 河外星系,2010年 10月 1日 18时 59分 57 秒 ， 我国 “ 嫦娥 二号 ” 卫星 在 西昌 点火 升空 ， 准确 入轨 。 该 卫星 到达 了 河 外 星系,time PU NN PU NN NN PU NN P loc VV VV PU AD VV PU DT NN VV AS term,,时间限定_0（2010年10月1日18时59分57秒）实体信息陈述_1（该卫星，到达了，河外星系）,时间限定_0（2010年10月1日18时59分57秒）实体信息陈述_1（该卫星，到达了，河外星系）,,,时间限定 实体信息陈述,时间限定 实体信息陈述,0,,2010年10月1日18时59分57秒 ， 我国 “ 嫦娥 二号 ” 卫星 在 西昌 点火 升空 ， 准确 入轨 。 该 卫星 到达 了 河 外星 系,2010年 10月 1日 18时 59分 57 秒 ， 我国 “ 嫦娥 二号 ” 卫星 在 西昌 点火 升空 ， 准确 入轨 。 该 卫星 到达 了 河 外星 系,time PU NR PU VV NN PU NN P loc NN VV PU AD VV PU DT NN VV AS term,( (IP (IP (NP (NT 2010年10月1日18时59分57秒)) (PU ，) (NP (NP (NP (NN 我国)) (NP (PU “) (NN 嫦娥) (NN 二号) (PU ”))) (NP (NN 卫星))) (VP (PP (P 在) (NP (NR 西昌))) (VP (VSB (VV 点火) (VV 升空))))) (PU ，) (IP (VP (ADVP (AD 准确)) (VP (VV 入轨)))) (PU 。) (IP (NP (DP (DT 该)) (NP (NN 卫星))) (VP (VV 到达) (AS 了) (NP (NN 河外星系))))) )
30-A,图中甲、乙、丙、丁四个区域中，人均GDP低于世界平均水平，且能源人均消费量高于世界平均水平的是	甲,None,,,15,,图 中 甲 、 乙 、 丙 、 丁 四 个 区域 中 ， 人均 GDP 低于 世界 平均 水平 ， 且 能源 人均 消费量 高于 世界 平均 水平 的 是 甲,图 中 甲 、 乙 、 丙 、 丁 四 个 区域 中 ， 人均 GDP 低于 世界 平均 水平 ， 且 能源 人均 消费量 高于 世界 平均 水平 的 是 甲,NN LC NN PU NN PU NN PU NN CD M NN LC PU JJ term VV NN JJ NN PU CC NN JJ NN VV NN JJ NN DEC VC NN,,比较_0（甲，世界，人均GDP，低）比较_1（甲，世界，能源人均消费量，高）,比较_0（甲，世界，人均GDP，低）比较_1（甲，世界，能源人均消费量，高）,0_16 1_25,0_16 1_25,比较,比较,,,图 中甲 、 乙 、 丙 、 丁 四个 区域 中 ， 人均 GDP 低于 世界 平均 水平 ， 且 能源 人均 消费量 高于 世界 平均 水平 的 是 甲,图 中甲 、 乙 、 丙 、 丁 四个 区域 中 ， 人均 GDP 低于 世界 平均 水平 ， 且 能源 人均 消费量 高于 世界 平均 水平 的 是 甲,NN NN PU NN PU NN PU NR CD NN LC PU JJ term VV NN JJ NN PU CC NN JJ NN VV NN JJ NN DEC VC NN,( (IP (IP (LCP (NP (NN 图)) (LC 中)) (LCP (NP (NP (NN 甲) (PU 、) (NN 乙) (PU 、) (NN 丙) (PU 、) (NN 丁)) (QP (CD 四) (CLP (M 个))) (NP (NN 区域))) (LC 中)) (PU ，) (NP (ADJP (JJ 人均)) (NP (NN GDP))) (VP (VV 低于) (NP (NP (NN 世界)) (ADJP (JJ 平均)) (NP (NN 水平))))) (PU ，) (CC 且) (IP (NP (CP (IP (NP (NP (NN 能源)) (ADJP (JJ 人均)) (NP (NN 消费量))) (VP (VV 高于) (NP (NP (NN 世界)) (ADJP (JJ 平均)) (NP (NN 水平))))) (DEC 的))) (VP (VC 是) (NP (NN 甲))))) )
30-B,图中甲、乙、丙、丁四个区域中，人均GDP低于世界平均水平，且能源人均消费量高于世界平均水平的是	乙,None,,,15,,图 中 甲 、 乙 、 丙 、 丁 四 个 区域 中 ， 人均 GDP 低于 世界 平均 水平 ， 且 能源 人均 消费量 高于 世界 平均 水平 的 是 乙,图 中 甲 、 乙 、 丙 、 丁 四 个 区域 中 ， 人均 GDP 低于 世界 平均 水平 ， 且 能源 人均 消费量 高于 世界 平均 水平 的 是 乙,NN LC NN PU NN PU NN PU NN CD M NN LC PU JJ term VV NN JJ NN PU CC NN JJ NN VV NN JJ NN DEC VC NN,,比较_0（乙，世界，人均GDP，低）比较_1（乙，世界，能源人均消费量，高）,比较_0（乙，世界，人均GDP，低）比较_1（乙，世界，能源人均消费量，高）,0_16 1_25,0_16 1_25,比较,比较,,,图 中甲 、 乙 、 丙 、 丁 四个 区域 中 ， 人均 GDP 低于 世界 平均 水平 ， 且 能源 人均 消费量 高于 世界 平均 水平 的 是 乙,图 中甲 、 乙 、 丙 、 丁 四个 区域 中 ， 人均 GDP 低于 世界 平均 水平 ， 且 能源 人均 消费量 高于 世界 平均 水平 的 是 乙,NN NN PU NN PU NN PU NR CD NN LC PU JJ term VV NN JJ NN PU CC NN JJ NN VV NN JJ NN DEC VC NN,( (IP (IP (LCP (NP (NN 图)) (LC 中)) (LCP (NP (NP (NN 甲) (PU 、) (NN 乙) (PU 、) (NN 丙) (PU 、) (NN 丁)) (QP (CD 四) (CLP (M 个))) (NP (NN 区域))) (LC 中)) (PU ，) (NP (ADJP (JJ 人均)) (NP (NN GDP))) (VP (VV 低于) (NP (NP (NN 世界)) (ADJP (JJ 平均)) (NP (NN 水平))))) (PU ，) (CC 且) (IP (NP (CP (IP (NP (NP (NN 能源)) (ADJP (JJ 人均)) (NP (NN 消费量))) (VP (VV 高于) (NP (NP (NN 世界)) (ADJP (JJ 平均)) (NP (NN 水平))))) (DEC 的))) (VP (VC 是) (NP (NN 乙))))) )
30-C,图中甲、乙、丙、丁四个区域中，人均GDP低于世界平均水平，且能源人均消费量高于世界平均水平的是	丙,None,,,15,,图 中 甲 、 乙 、 丙 、 丁 四 个 区域 中 ， 人均 GDP 低于 世界 平均 水平 ， 且 能源 人均 消费量 高于 世界 平均 水平 的 是 丙,图 中 甲 、 乙 、 丙 、 丁 四 个 区域 中 ， 人均 GDP 低于 世界 平均 水平 ， 且 能源 人均 消费量 高于 世界 平均 水平 的 是 丙,NN LC NN PU NN PU NN PU NN CD M NN LC PU JJ term VV NN JJ NN PU CC NN JJ NN VV NN JJ NN DEC VC NN,,比较_0（丙，世界，人均GDP，低）比较_1（丙，世界，能源人均消费量，高）,比较_0（丙，世界，人均GDP，低）比较_1（丙，世界，能源人均消费量，高）,0_16 1_25,0_16 1_25,比较,比较,,,图 中甲 、 乙 、 丙 、 丁 四个 区域 中 ， 人均 GDP 低于 世界 平均 水平 ， 且 能源 人均 消费量 高于 世界 平均 水平 的 是 丙,图 中甲 、 乙 、 丙 、 丁 四个 区域 中 ， 人均 GDP 低于 世界 平均 水平 ， 且 能源 人均 消费量 高于 世界 平均 水平 的 是 丙,NN NN PU NN PU NN PU NR CD NN LC PU JJ term VV NN JJ NN PU CC NN JJ NN VV NN JJ NN DEC VC NN,( (IP (IP (LCP (NP (NN 图)) (LC 中)) (LCP (NP (NP (NN 甲) (PU 、) (NN 乙) (PU 、) (NN 丙) (PU 、) (NN 丁)) (QP (CD 四) (CLP (M 个))) (NP (NN 区域))) (LC 中)) (PU ，) (NP (ADJP (JJ 人均)) (NP (NN GDP))) (VP (VV 低于) (NP (NP (NN 世界)) (ADJP (JJ 平均)) (NP (NN 水平))))) (PU ，) (CC 且) (IP (NP (CP (IP (NP (NP (NN 能源)) (ADJP (JJ 人均)) (NP (NN 消费量))) (VP (VV 高于) (NP (NP (NN 世界)) (ADJP (JJ 平均)) (NP (NN 水平))))) (DEC 的))) (VP (VC 是) (NP (NN 丙))))) )
30-D,图中甲、乙、丙、丁四个区域中，人均GDP低于世界平均水平，且能源人均消费量高于世界平均水平的是	丁,None,,,15,,图 中 甲 、 乙 、 丙 、 丁 四 个 区域 中 ， 人均 GDP 低于 世界 平均 水平 ， 且 能源 人均 消费量 高于 世界 平均 水平 的 是 丁,图 中 甲 、 乙 、 丙 、 丁 四 个 区域 中 ， 人均 GDP 低于 世界 平均 水平 ， 且 能源 人均 消费量 高于 世界 平均 水平 的 是 丁,NN LC NN PU NN PU NN PU NN CD M NN LC PU JJ term VV NN JJ NN PU CC NN JJ NN VV NN JJ NN DEC VC NN,,比较_0（丁，世界，人均GDP，低）比较_1（丁，世界，能源人均消费量，高）,比较_0（丁，世界，人均GDP，低）比较_1（丁，世界，能源人均消费量，高）,0_16 1_25,0_16 1_25,比较,比较,,,图 中甲 、 乙 、 丙 、 丁 四个 区域 中 ， 人均 GDP 低于 世界 平均 水平 ， 且 能源 人均 消费量 高于 世界 平均 水平 的 是 丁,图 中甲 、 乙 、 丙 、 丁 四个 区域 中 ， 人均 GDP 低于 世界 平均 水平 ， 且 能源 人均 消费量 高于 世界 平均 水平 的 是 丁,NN NN PU NN PU NN PU NR CD NN LC PU JJ term VV NN JJ NN PU CC NN JJ NN VV NN JJ NN DEC VC NR,( (IP (IP (LCP (NP (NN 图)) (LC 中)) (LCP (NP (NP (NN 甲) (PU 、) (NN 乙) (PU 、) (NN 丙) (PU 、) (NN 丁)) (QP (CD 四) (CLP (M 个))) (NP (NN 区域))) (LC 中)) (PU ，) (NP (ADJP (JJ 人均)) (NP (NN GDP))) (VP (VV 低于) (NP (NP (NN 世界)) (ADJP (JJ 平均)) (NP (NN 水平))))) (PU ，) (CC 且) (IP (NP (CP (IP (NP (NP (NN 能源)) (ADJP (JJ 人均)) (NP (NN 消费量))) (VP (VV 高于) (NP (NP (NN 世界)) (ADJP (JJ 平均)) (NP (NN 水平))))) (DEC 的))) (VP (VC 是) (NP (NN 丁))))) )
31-A,能源消费总量高于中国的是	美国,None,,4 7,,,能源 消费 总量 高于 中国 的 是 美国,能源 消费 总量 高于 中国 的 是 美国,NN NN NN VV loc DEC VC loc,,比较_0（美国，中国，能源消费总量，高）,比较_0（美国，中国，能源消费总量，高）,0_3,0_3,比较,比较,,4 7,能源 消费 总量 高于 中国 的 是 美国,能源 消费 总量 高于 中国 的 是 美国,NN NN NN VV loc DEG VC loc,( (IP (NP (NN 能源) (NN 消费) (NN 总量)) (NP (CP (IP (VP (VV 高于) (NP (NR 中国)))) (DEC 的))) (VP (VC 是) (NP (NR 美国)))) )
31-B,能源消费总量高于中国的是	俄罗斯,None,,4 7,,,能源 消费 总量 高于 中国 的 是 俄罗斯,能源 消费 总量 高于 中国 的 是 俄罗斯,NN NN NN VV loc DEC VC loc,,比较_0（俄罗斯，中国，能源消费总量，高）,比较_0（俄罗斯，中国，能源消费总量，高）,0_3,0_3,比较,比较,,4 7,能源 消费 总量 高于 中国 的 是 俄罗斯,能源 消费 总量 高于 中国 的 是 俄罗斯,NN NN NN VV loc DEG VC loc,( (IP (NP (NN 能源) (NN 消费) (NN 总量)) (NP (CP (IP (VP (VV 高于) (NP (NR 中国)))) (DEC 的))) (VP (VC 是) (NP (NR 俄罗斯)))) )
31-C,能源消费总量高于中国的是	印度,None,,4 7,,,能源 消费 总量 高于 中国 的 是 印度,能源 消费 总量 高于 中国 的 是 印度,NN NN NN VV loc DEC VC loc,,比较_0（印度，中国，能源消费总量，高）,比较_0（印度，中国，能源消费总量，高）,0_3,0_3,比较,比较,,4 7,能源 消费 总量 高于 中国 的 是 印度,能源 消费 总量 高于 中国 的 是 印度,NN NN NN VV loc DEG VC loc,( (IP (NP (NN 能源) (NN 消费) (NN 总量)) (NP (CP (IP (VP (VV 高于) (NP (NR 中国)))) (DEC 的))) (VP (VC 是) (NP (NR 印度)))) )
31-D,能源消费总量高于中国的是	日本,None,,4 7,,,能源 消费 总量 高于 中国 的 是 日本,能源 消费 总量 高于 中国 的 是 日本,NN NN NN VV loc DEC VC loc,,比较_0（日本，中国，能源消费总量，高）,比较_0（日本，中国，能源消费总量，高）,0_3,0_3,比较,比较,,4 7,能源 消费 总量 高于 中国 的 是 日本,能源 消费 总量 高于 中国 的 是 日本,NN NN NN VV loc DEG VC loc,( (IP (NP (NN 能源) (NN 消费) (NN 总量)) (NP (CP (IP (VP (VV 高于) (NP (NR 中国)))) (DEC 的))) (VP (VC 是) (NP (NR 日本)))) )
32-A,图中甲、乙、丙、丁四个区域中，属于发达国家，且位于东半球和北半球的是	甲,None,,,18 20,,图 中甲 、 乙 、 丙 、 丁 四个 区域 中 ， 属于 发达 国家 ， 且 位于 东半球 和 北半球 的 是 甲,图 中甲 、 乙 、 丙 、 丁 四个 区域 中 ， 属于 发达 国家 ， 且 位于 东半球 和 北半球 的 是 甲,NN NN PU NN PU NN PU NN CD NN LC PU VV JJ NN PU CC VV term CC term DEC VC NN,,实体信息陈述_0（甲，属于，发达国家）位于_1（甲，东半球和北半球）,实体信息陈述_0（甲，属于，发达国家）位于_1（甲，东半球和北半球）,1_17,1_17,实体信息陈述 位于,实体信息陈述 位于,,18,图 中甲 、 乙 、 丙 、 丁 四个 区域 中 ， 属于 发达 国家 ， 且 位于 东半球 和 北半球 的 是 甲,图 中甲 、 乙 、 丙 、 丁 四个 区域 中 ， 属于 发达 国家 ， 且 位于 东半球 和 北半球 的 是 甲,NN NN PU NN PU NN PU NR CD NN LC PU VV JJ NN PU CC VV term CC term DEG VC NN,( (IP (LCP (NP (NP (NN 图) (NN 中甲) (PU 、) (NN 乙) (PU 、) (NN 丙) (PU 、) (NN 丁)) (QP (CD 四个)) (NP (NN 区域))) (LC 中)) (PU ，) (IP (VP (VV 属于) (NP (ADJP (JJ 发达)) (NP (NN 国家))))) (PU ，) (CC 且) (IP (NP (CP (IP (VP (VV 位于) (NP (NN 东半球) (CC 和) (NN 北半球)))) (DEC 的))) (VP (VC 是) (NP (NN 甲))))) )
32-B,图中甲、乙、丙、丁四个区域中，属于发达国家，且位于东半球和北半球的是	乙,None,,,18 20,,图 中甲 、 乙 、 丙 、 丁 四个 区域 中 ， 属于 发达 国家 ， 且 位于 东半球 和 北半球 的 是 乙,图 中甲 、 乙 、 丙 、 丁 四个 区域 中 ， 属于 发达 国家 ， 且 位于 东半球 和 北半球 的 是 乙,NN NN PU NN PU NN PU NN CD NN LC PU VV JJ NN PU CC VV term CC term DEC VC NN,,实体信息陈述_0（乙，属于，发达国家）位于_1（乙，东半球和北半球）,实体信息陈述_0（乙，属于，发达国家）位于_1（乙，东半球和北半球）,1_17,1_17,实体信息陈述 位于,实体信息陈述 位于,,18,图 中甲 、 乙 、 丙 、 丁 四个 区域 中 ， 属于 发达 国家 ， 且 位于 东半球 和 北半球 的 是 乙,图 中甲 、 乙 、 丙 、 丁 四个 区域 中 ， 属于 发达 国家 ， 且 位于 东半球 和 北半球 的 是 乙,NN NN PU NN PU NN PU NR CD NN LC PU VV JJ NN PU CC VV term CC term DEG VC NN,( (IP (LCP (NP (NP (NN 图) (NN 中甲) (PU 、) (NN 乙) (PU 、) (NN 丙) (PU 、) (NN 丁)) (QP (CD 四个)) (NP (NN 区域))) (LC 中)) (PU ，) (IP (VP (VV 属于) (NP (ADJP (JJ 发达)) (NP (NN 国家))))) (PU ，) (CC 且) (IP (NP (CP (IP (VP (VV 位于) (NP (NN 东半球) (CC 和) (NN 北半球)))) (DEC 的))) (VP (VC 是) (NP (NN 乙))))) )
32-C,图中甲、乙、丙、丁四个区域中，属于发达国家，且位于东半球和北半球的是	丙,None,,,18 20,,图 中甲 、 乙 、 丙 、 丁 四个 区域 中 ， 属于 发达 国家 ， 且 位于 东半球 和 北半球 的 是 丙,图 中甲 、 乙 、 丙 、 丁 四个 区域 中 ， 属于 发达 国家 ， 且 位于 东半球 和 北半球 的 是 丙,NN NN PU NN PU NN PU NN CD NN LC PU VV JJ NN PU CC VV term CC term DEC VC NN,,实体信息陈述_0（丙，属于，发达国家）位于_1（丙，东半球和北半球）,实体信息陈述_0（丙，属于，发达国家）位于_1（丙，东半球和北半球）,1_17,1_17,实体信息陈述 位于,实体信息陈述 位于,,18,图 中甲 、 乙 、 丙 、 丁 四个 区域 中 ， 属于 发达 国家 ， 且 位于 东半球 和 北半球 的 是 丙,图 中甲 、 乙 、 丙 、 丁 四个 区域 中 ， 属于 发达 国家 ， 且 位于 东半球 和 北半球 的 是 丙,NN NN PU NN PU NN PU NR CD NN LC PU VV JJ NN PU CC VV term CC term DEG VC NN,( (IP (LCP (NP (NP (NN 图) (NN 中甲) (PU 、) (NN 乙) (PU 、) (NN 丙) (PU 、) (NN 丁)) (QP (CD 四个)) (NP (NN 区域))) (LC 中)) (PU ，) (IP (VP (VV 属于) (NP (ADJP (JJ 发达)) (NP (NN 国家))))) (PU ，) (CC 且) (IP (NP (CP (IP (VP (VV 位于) (NP (NN 东半球) (CC 和) (NN 北半球)))) (DEC 的))) (VP (VC 是) (NP (NN 丙))))) )
32-D,图中甲、乙、丙、丁四个区域中，属于发达国家，且位于东半球和北半球的是	丁,None,,,18 20,,图 中甲 、 乙 、 丙 、 丁 四个 区域 中 ， 属于 发达 国家 ， 且 位于 东半球 和 北半球 的 是 丁,图 中甲 、 乙 、 丙 、 丁 四个 区域 中 ， 属于 发达 国家 ， 且 位于 东半球 和 北半球 的 是 丁,NN NN PU NN PU NN PU NN CD NN LC PU VV JJ NN PU CC VV term CC term DEC VC NN,,实体信息陈述_0（丁，属于，发达国家）位于_1（丁，东半球和北半球）,实体信息陈述_0（丁，属于，发达国家）位于_1（丁，东半球和北半球）,1_17,1_17,实体信息陈述 位于,实体信息陈述 位于,,18,图 中甲 、 乙 、 丙 、 丁 四个 区域 中 ， 属于 发达 国家 ， 且 位于 东半球 和 北半球 的 是 丁,图 中甲 、 乙 、 丙 、 丁 四个 区域 中 ， 属于 发达 国家 ， 且 位于 东半球 和 北半球 的 是 丁,NN NN PU NN PU NN PU NR CD NN LC PU VV JJ NN PU CC VV term CC term DEG VC NR,( (IP (LCP (NP (NP (NN 图) (NN 中甲) (PU 、) (NN 乙) (PU 、) (NN 丙) (PU 、) (NN 丁)) (QP (CD 四个)) (NP (NN 区域))) (LC 中)) (PU ，) (IP (VP (VV 属于) (NP (ADJP (JJ 发达)) (NP (NN 国家))))) (PU ，) (CC 且) (IP (NP (CP (IP (VP (VV 位于) (NP (NN 东半球) (CC 和) (NN 北半球)))) (DEC 的))) (VP (VC 是) (NP (NN 丁))))) )
33-A,关于表中国家人口增长模式的叙述正确的是	美国高出生率、高死亡率、低自然增长率,None,,11,,,关于 表中 国家 人口 增长 模式 的 叙述 正确 的 是 美国 高 出生率 、 高 死亡率 、 低 自然 增长率,关于 表中 国家 人口 增长 模式 的 叙述 正确 的 是 美国 高 出生率 、 高 死亡率 、 低 自然 增长率,P VV NN NN VV NN DEC VV VA DEC VC loc JJ NN PU JJ NN PU JJ NN NN,,实体信息陈述_0（美国，人口增长模式，高出生率、高死亡率、低自然增长率）,实体信息陈述_0（美国，人口增长模式，高出生率、高死亡率、低自然增长率）,,,实体信息陈述,实体信息陈述,,11,关于 表 中国 家 人口 增长 模式 的 叙述 正确 的 是 美国 高 出生率 、 高 死亡率 、 低 自然 增长率,关于 表中 国家 人口 增长 模式 的 叙述 正确 的 是 美国 高 出生率 、 高 死亡率 、 低 自然 增长率,P VV NN NN VV NN DEC VV VA DEC VC loc JJ NN PU JJ NN PU JJ NN NN,( (IP (NP (CP (IP (VP (PP (P 关于) (IP (VP (VV 表中) (NP (NN 国家) (NN 人口))))) (VP (VV 增长) (NP (NN 模式))))) (DEC 的))) (VP (VV 叙述) (IP (NP (CP (IP (VP (VA 正确))) (DEC 的))) (VP (VC 是) (NP (NP (NR 美国)) (NP (ADJP (JJ 高)) (NP (NN 出生率))) (PU 、) (NP (ADJP (JJ 高)) (NP (NN 死亡率))) (PU 、) (NP (ADJP (JJ 低)) (NP (NN 自然) (NN 增长率)))))))) )
33-B,关于表中国家人口增长模式的叙述正确的是	德国低出生率、低死亡率、低自然增长率,None,,11,,,关于 表中 国家 人口 增长 模式 的 叙述 正确 的 是 德国 低 出生率 、 低 死亡率 、 低 自然 增长率,关于 表中 国家 人口 增长 模式 的 叙述 正确 的 是 德国 低 出生率 、 低 死亡率 、 低 自然 增长率,P VV NN NN VV NN DEC VV VA DEC VC loc JJ NN PU JJ NN PU JJ NN NN,,实体信息陈述_0（德国，人口增长模式，低出生率、低死亡率、低自然增长率）,实体信息陈述_0（德国，人口增长模式，低出生率、低死亡率、低自然增长率）,,,实体信息陈述,实体信息陈述,,11,关于 表 中国 家 人口 增长 模式 的 叙述 正确 的 是 德国 低 出生率 、 低 死亡率 、 低 自然 增长率,关于 表中 国家 人口 增长 模式 的 叙述 正确 的 是 德国 低 出生率 、 低 死亡率 、 低 自然 增长率,P VV NN NN VV NN DEC VV VA DEC VC loc JJ NN PU JJ NN PU JJ NN NN,( (IP (NP (CP (IP (VP (PP (P 关于) (IP (VP (VV 表中) (NP (NN 国家) (NN 人口))))) (VP (VV 增长) (NP (NN 模式))))) (DEC 的))) (VP (VV 叙述) (IP (NP (CP (IP (VP (VA 正确))) (DEC 的))) (VP (VC 是) (NP (NP (NR 德国)) (NP (ADJP (JJ 低)) (NP (NN 出生率))) (PU 、) (NP (ADJP (JJ 低)) (NP (NN 死亡率))) (PU 、) (NP (ADJP (JJ 低)) (NP (NN 自然) (NN 增长率)))))))) )
33-C,关于表中国家人口增长模式的叙述正确的是	印度高出生率、低死亡率、低自然增长率,None,,11,,,关于 表中 国家 人口 增长 模式 的 叙述 正确 的 是 印度 高 出生率 、 低 死亡率 、 低 自然 增长率,关于 表中 国家 人口 增长 模式 的 叙述 正确 的 是 印度 高 出生率 、 低 死亡率 、 低 自然 增长率,P VV NN NN VV NN DEC VV VA DEC VC loc JJ NN PU JJ NN PU JJ NN NN,,实体信息陈述_0（印度，人口增长模式，高出生率、低死亡率、低自然增长率）,实体信息陈述_0（印度，人口增长模式，高出生率、低死亡率、低自然增长率）,,,实体信息陈述,实体信息陈述,,11,关于 表 中国 家 人口 增长 模式 的 叙述 正确 的 是 印度 高 出生率 、 低 死亡率 、 低 自然 增长率,关于 表中 国家 人口 增长 模式 的 叙述 正确 的 是 印度 高 出生率 、 低 死亡率 、 低 自然 增长率,P VV NN NN VV NN DEC VV VA DEC VC loc JJ NN PU JJ NN PU JJ NN NN,( (IP (NP (CP (IP (VP (PP (P 关于) (IP (VP (VV 表中) (NP (NN 国家) (NN 人口))))) (VP (VV 增长) (NP (NN 模式))))) (DEC 的))) (VP (VV 叙述) (IP (NP (CP (IP (VP (VA 正确))) (DEC 的))) (VP (VC 是) (NP (NP (NR 印度)) (NP (ADJP (JJ 高)) (NP (NN 出生率))) (PU 、) (NP (ADJP (JJ 低)) (NP (NN 死亡率))) (PU 、) (NP (ADJP (JJ 低)) (NP (NN 自然) (NN 增长率)))))))) )
33-D,关于表中国家人口增长模式的叙述正确的是	日本高出生率、低死亡率、高自然增长率,None,,11,,,关于 表中 国家 人口 增长 模式 的 叙述 正确 的 是 日本 高 出生率 、 低 死亡率 、 高 自然 增长率,关于 表中 国家 人口 增长 模式 的 叙述 正确 的 是 日本 高 出生率 、 低 死亡率 、 高 自然 增长率,P VV NN NN VV NN DEC VV VA DEC VC loc JJ NN PU JJ NN PU JJ NN NN,,实体信息陈述_0（日本，人口增长模式，高出生率、低死亡率、高自然增长率）,实体信息陈述_0（日本，人口增长模式，高出生率、低死亡率、高自然增长率）,,,实体信息陈述,实体信息陈述,,11,关于 表 中国 家 人口 增长 模式 的 叙述 正确 的 是 日本 高 出生率 、 低 死亡率 、 高 自然 增长率,关于 表中 国家 人口 增长 模式 的 叙述 正确 的 是 日本 高 出生率 、 低 死亡率 、 高 自然 增长率,P VV NN NN VV NN DEC VV VA DEC VC loc JJ NN PU JJ NN PU JJ NN NN,( (IP (NP (CP (IP (VP (PP (P 关于) (IP (VP (VV 表中) (NP (NN 国家) (NN 人口))))) (VP (VV 增长) (NP (NN 模式))))) (DEC 的))) (VP (VV 叙述) (IP (NP (CP (IP (VP (VA 正确))) (DEC 的))) (VP (VC 是) (NP (NP (NR 日本)) (NP (ADJP (JJ 高)) (NP (NN 出生率))) (PU 、) (NP (ADJP (JJ 低)) (NP (NN 死亡率))) (PU 、) (NP (ADJP (JJ 高)) (NP (NN 自然) (NN 增长率)))))))) )
34-①,印度面临的人口问题主要有	人口老龄化严重,None,,0,,,印度 面临 的 人口 问题 主要 有 人口 老龄化 严重,印度 面临 的 人口 问题 主要 有 人口 老龄化 严重,loc VV DEC NN NN AD VE NN VV VA,,实体信息陈述_0（印度，面临的人口问题，人口老龄化严重）,实体信息陈述_0（印度，面临的人口问题，人口老龄化严重）,,,实体信息陈述,实体信息陈述,,0,印度 面临 的 人口 问题 主要 有 人口老龄化 严重,印度 面临 的 人口 问题 主要 有 人口老龄化 严重,loc VV DEC NN NN AD VE NN NN VA,( (IP (NP (CP (IP (NP (NR 印度)) (VP (VV 面临))) (DEC 的)) (NP (NN 人口) (NN 问题))) (VP (VP (ADVP (AD 主要)) (VP (VP (VE 有) (NP (NN 人口))) (VP (VV 老龄化)))) (VP (VA 严重)))) )
34-②,印度面临的人口问题主要有	劳动力严重不足,None,,0,,,印度 面临 的 人口 问题 主要 有 劳动力 严重 不足,印度 面临 的 人口 问题 主要 有 劳动力 严重 不足,loc VV DEC NN NN AD VE NN AD VA,,实体信息陈述_0（印度，面临的人口问题，劳动力严重不足）,实体信息陈述_0（印度，面临的人口问题，劳动力严重不足）,,,实体信息陈述,实体信息陈述,,0,印度 面临 的 人口 问题 主要 有 劳动力 严重 不足,印度 面临 的 人口 问题 主要 有 劳动力 严重 不足,loc VV DEC NN NN AD VE NN VA VA,( (IP (NP (CP (IP (NP (NR 印度)) (VP (VV 面临))) (DEC 的)) (NP (NN 人口) (NN 问题))) (VP (VP (ADVP (AD 主要)) (VP (VE 有) (NP (NN 劳动力)))) (VP (ADVP (AD 严重)) (VP (VA 不足))))) )
34-③,印度面临的人口问题主要有	人口增长过快,None,,0,,,印度 面临 的 人口 问题 主要 有 人口 增长 过 快,印度 面临 的 人口 问题 主要 有 人口 增长 过 快,loc VV DEC NN NN AD VE NN VV AS VA,,实体信息陈述_0（印度，面临的人口问题，人口增长过快）,实体信息陈述_0（印度，面临的人口问题，人口增长过快）,,,实体信息陈述,实体信息陈述,,0,印度 面临 的 人口 问题 主要 有 人口 增长 过 快,印度 面临 的 人口 问题 主要 有 人口 增长 过 快,loc VV DEC NN NN AD VE NN VV AS VA,( (IP (NP (CP (IP (NP (NR 印度)) (VP (VV 面临))) (DEC 的)) (NP (NN 人口) (NN 问题))) (VP (ADVP (AD 主要)) (VP (VP (VE 有) (NP (NN 人口))) (VP (VV 增长) (AS 过) (IP (VP (VA 快))))))) )
34-④,印度面临的人口问题主要有	人口总量大,None,,0,,,印度 面临 的 人口 问题 主要 有 人口 总量 大,印度 面临 的 人口 问题 主要 有 人口 总量 大,loc VV DEC NN NN AD VE NN NN VA,,实体信息陈述_0（印度，面临的人口问题，人口总量大）,实体信息陈述_0（印度，面临的人口问题，人口总量大）,,,实体信息陈述,实体信息陈述,,0,印度 面临 的 人口 问题 主要 有 人口 总量 大,印度 面临 的 人口 问题 主要 有 人口 总量 大,loc VV DEC NN NN AD VE NN NN JJ,( (IP (NP (CP (IP (NP (NR 印度)) (VP (VV 面临))) (DEC 的)) (NP (NN 人口) (NN 问题))) (VP (ADVP (AD 主要)) (VP (VE 有) (IP (NP (NN 人口) (NN 总量)) (VP (VA 大)))))) )
