试卷名,编号,文本,拆分信息,时间,地点,术语,数量词,（粗粒度）分词,（细粒度）分词,词性,成分分析,简化模板,完整模板,简化模板线索词,完整模板线索词,简化模板类型,完整模板类型,（auto）时间,（auto）地点,（auto粗粒度）分词,（auto细粒度）分词,（auto）词性,（auto）成分分析
2003-北京,1-A,该船员拍摄照片时，P地的地方时为	22时,None,10,6,8,,该 船员 拍摄 照片 时 ， P地 的 地方时 为 22时,该 船员 拍摄 照片 时 ， P地 的 地方时 为 22时,DT NN VV NN LC PU loc DEG term VC time,,时间限定_0（该船员拍摄照片时）实体信息陈述_1（P地，地方时，22时）,时间限定_0（该船员拍摄照片时）实体信息陈述_1（P地，地方时，22时）,0_4 1_7-9,0_4 1_7-9,时间限定 实体信息陈述,时间限定 实体信息陈述,10,,该 船员 拍摄 照片 时 ， P地 的 地方 时 为 22时,该 船员 拍摄 照片 时 ， P地 的 地方 时 为 22时,DT NN VV NN LC PU loc DEG term VC time,( (IP (LCP (IP (NP (DP (DT 该)) (NP (NN 船员))) (VP (VV 拍摄) (NP (NN 照片)))) (LC 时)) (PU ，) (NP (DNP (NP (NR P地)) (DEG 的)) (NP (NN 地方时))) (VP (VC 为) (NP (NT 22时)))) )
科大讯飞-地理测试11（北京市海淀区高三第一学期期末练习）,25-B,关于图示地区自然地理环境的叙述，正确的是	嫩江及其支流汛期长，封冻期长,y,,10,3 14 17,,关于 图示 地区 自然地理环境 的 叙述 ， 正确 的 是 嫩江 及 其 支流 汛期 长 ， 封冻期 长,关于 图示 地区 自然 地理 环境 的 叙述 ， 正确 的 是 嫩江 及 其 支流 汛期 长 ， 封冻期 长,P VA NN term DEG NN PU VA DEC VC loc CC PN NN term VA PU term VA,,实体信息陈述_0（嫩江及其支流，汛期，长）实体信息陈述_1（嫩江及其支流，封冻期，长）,实体信息陈述_0（嫩江及其支流，汛期，长）实体信息陈述_1（嫩江及其支流，封冻期，长）,,,实体信息陈述,实体信息陈述,,,关于 图示 地区 自然地理环境 的 叙述 ， 正确 的 是 嫩江 及 其 支流 汛期 长 ， 封冻期 长,关于 图示 地区 自然地理环境 的 叙述 ， 正确 的 是 嫩江 及 其 支流 汛期 长 ， 封冻期 长,P NN NN term DEG NN PU VA DEC VC loc CC PN NN term VA PU term VA,( (IP (NP (DNP (PP (P 关于) (NP (CP (VP (VA 图示))) (NP (NN 地区) (NN 自然地理环境)))) (DEG 的)) (NP (NN 叙述))) (PU ，) (NP (CP (IP (VP (VA 正确))) (DEC 的))) (VP (VC 是) (IP (NP (NP (NR 嫩江)) (CC 及) (NP (NP (PN 其)) (NP (NN 支流)))) (IP (IP (NP (NN 汛期)) (VP (VA 长))) (PU ，) (IP (NP (NN 封冻期)) (VP (VA 长))))))) )
科大讯飞-地理测试11（北京市海淀区高三第一学期期末练习）,25-B-0,关于图示地区自然地理环境的叙述，正确的是	嫩江及其支流汛期长,ed-ori,,10,3 14,,关于 图示 地区 自然地理环境 的 叙述 ， 正确 的 是 嫩江 及 其 支流 汛期 长,关于 图示 地区 自然 地理 环境 的 叙述 ， 正确 的 是 嫩江 及 其 支流 汛期 长,P VA NN term DEG NN PU VA DEC VC loc CC PN NN term VA,,实体信息陈述_0（嫩江及其支流，汛期，长）,实体信息陈述_0（嫩江及其支流，汛期，长）,,,实体信息陈述,实体信息陈述,,,关于 图示 地区 自然地理环境 的 叙述 ， 正确 的 是 嫩江 及 其 支流 汛期 长,关于 图示 地区 自然地理环境 的 叙述 ， 正确 的 是 嫩江 及 其 支流 汛期 长,P NN NN term DEG NN PU VA DEC VC loc CC PN NN term VA,( (IP (NP (DNP (PP (P 关于) (NP (CP (VP (VA 图示))) (NP (NN 地区) (NN 自然地理环境)))) (DEG 的)) (NP (NN 叙述))) (PU ，) (NP (CP (IP (VP (VA 正确))) (DEC 的))) (VP (VC 是) (IP (NP (NP (NR 嫩江)) (CC 及) (NP (NP (PN 其)) (NP (NN 支流)))) (NP (NN 汛期)) (VP (VA 长))))) )
科大讯飞-地理测试11（北京市海淀区高三第一学期期末练习）,25-B-1,关于图示地区自然地理环境的叙述，正确的是	嫩江及其支流封冻期长,ed-mod,,10,3 14,,关于 图示 地区 自然地理环境 的 叙述 ， 正确 的 是 嫩江 及 其 支流 封冻期 长,关于 图示 地区 自然 地理 环境 的 叙述 ， 正确 的 是 嫩江 及 其 支流 封冻期 长,P VA NN term DEG NN PU VA DEC VC loc CC PN NN term VA,,实体信息陈述_0（嫩江及其支流，封冻期，长）,实体信息陈述_0（嫩江及其支流，封冻期，长）,,,实体信息陈述,实体信息陈述,,,关于 图示 地区 自然地理环境 的 叙述 ， 正确 的 是 嫩江 及 其 支流 封冻期 长,关于 图示 地区 自然地理环境 的 叙述 ， 正确 的 是 嫩江 及 其 支流 封冻期 长,P NN NN term DEG NN PU VA DEC VC loc CC PN NN term VA,( (IP (NP (DNP (PP (P 关于) (NP (CP (VP (VA 图示))) (NP (NN 地区) (NN 自然地理环境)))) (DEG 的)) (NP (NN 叙述))) (PU ，) (NP (CP (IP (VP (VA 正确))) (DEC 的))) (VP (VC 是) (IP (NP (NP (NR 嫩江)) (CC 及) (NP (NP (PN 其)) (NP (NN 支流) (NN 封冻期)))) (VP (VA 长))))) )
科大讯飞-地理测试11（北京市海淀区高三第一学期期末练习）,25-C,关于图示地区自然地理环境的叙述，正确的是	山地垂直地带性显著，基带为温带草原带,y,,,3 10 11 16,,关于 图示 地区 自然地理环境 的 叙述 ， 正确 的 是 山地 垂直地带性 显著 ， 基带 为 温带草原带,关于 图示 地区 自然 地理 环境 的 叙述 ， 正确 的 是 山地 垂直 地带性 显著 ， 基带 为 温带草原带,P VA NN term DEG NN PU VA DEC VC term term VA PU NN VC term,,实体信息陈述_0（图示地区，山地垂直地带性，显著）实体信息陈述_1（图示地区，基带，温带草原带）,实体信息陈述_0（图示地区，山地垂直地带性，显著）实体信息陈述_1（图示地区，基带，温带草原带）,,,实体信息陈述,实体信息陈述,,,关于 图示 地区 自然地理环境 的 叙述 ， 正确 的 是 山地 垂直地带性 显著 ， 基带 为 温带草原带,关于 图示 地区 自然地理环境 的 叙述 ， 正确 的 是 山地 垂直地带性 显著 ， 基带 为 温带草原带,P NN NN term DEG NN PU VA DEC VC term term VA PU NN VC term,( (IP (NP (DNP (PP (P 关于) (NP (CP (VP (VA 图示))) (NP (NN 地区) (NN 自然地理环境)))) (DEG 的)) (NP (NN 叙述))) (PU ，) (NP (CP (IP (VP (VA 正确))) (DEC 的))) (VP (VC 是) (IP (IP (NP (NN 山地) (NN 垂直地带性)) (VP (VA 显著))) (PU ，) (IP (NP (NN 基带)) (VP (VC 为) (NP (NN 温带草原带))))))) )
科大讯飞-地理测试11（北京市海淀区高三第一学期期末练习）,25-C-0,关于图示地区自然地理环境的叙述，正确的是	山地垂直地带性显著,ed-ori,,,3 10,,关于 图示 地区 自然地理环境 的 叙述 ， 正确 的 是 山地垂直地带性 显著,关于 图示 地区 自然 地理 环境 的 叙述 ， 正确 的 是 山地 垂直 地带性 显著,P VA NN term DEG NN PU VA DEC VC term VA,,实体信息陈述_0（图示地区，山地垂直地带性，显著）,实体信息陈述_0（图示地区，山地垂直地带性，显著）,,,实体信息陈述,实体信息陈述,,,关于 图示 地区 自然地理环境 的 叙述 ， 正确 的 是 山地 垂直地带性 显著,关于 图示 地区 自然地理环境 的 叙述 ， 正确 的 是 山地 垂直地带性 显著,P NN NN term DEG NN PU VA DEC VC term VA,( (IP (NP (DNP (PP (P 关于) (NP (CP (VP (VA 图示))) (NP (NN 地区) (NN 自然地理环境)))) (DEG 的)) (NP (NN 叙述))) (PU ，) (NP (CP (IP (VP (VA 正确))) (DEC 的))) (VP (VC 是) (IP (NP (NN 山地垂直地带性)) (VP (VA 显著))))) )
科大讯飞-地理测试11（北京市海淀区高三第一学期期末练习）,25-C-1,关于图示地区自然地理环境的叙述，正确的是	基带为温带草原带,ed-ori,,,3 12,,关于 图示 地区 自然地理环境 的 叙述 ， 正确 的 是 基带 为 温带草原带,关于 图示 地区 自然 地理 环境 的 叙述 ， 正确 的 是 基带 为 温带 草原 带,P VA NN term DEG NN PU VA DEC VC NN VC term,,实体信息陈述_0（图示地区，基带，温带草原带）,实体信息陈述_0（图示地区，基带，温带草原带）,,,实体信息陈述,实体信息陈述,,,关于 图示 地区 自然地理环境 的 叙述 ， 正确 的 是 基带 为 温带草原带,关于 图示 地区 自然地理环境 的 叙述 ， 正确 的 是 基带 为 温带草原带,P NN NN term DEG NN PU VA DEC VC NN VC term,( (IP (NP (DNP (PP (P 关于) (NP (CP (VP (VA 图示))) (NP (NN 地区) (NN 自然地理环境)))) (DEG 的)) (NP (NN 叙述))) (PU ，) (NP (CP (IP (VP (VA 正确))) (DEC 的))) (VP (VC 是) (IP (NP (NN 基带)) (VP (VC 为) (NP (NN 温带草原带)))))) )
科大讯飞-地理测试11（北京市海淀区高三第一学期期末练习）,25-D,关于图示地区自然地理环境的叙述，正确的是	平原面积较大，山脉呈东北—西南走向,y,,,3 10,,关于 图示 地区 自然地理环境 的 叙述 ， 正确 的 是 平原 面积 较 大 ， 山脉 呈 东北 — 西南 走向,关于 图示 地区 自然 地理 环境 的 叙述 ， 正确 的 是 平原 面积 较 大 ， 山脉 呈 东北 — 西南 走向,P VA NN term DEG NN PU VA DEC VC term NN AD VA PU NN VV NN PU NN NN,,实体信息陈述_0（图示地区，平原面积，大）实体信息陈述_1（图示地区，山脉走向，呈东北—西南走向）,实体信息陈述_0（图示地区，平原面积，大）实体信息陈述_1（图示地区，山脉走向，呈东北—西南走向）,,,实体信息陈述,实体信息陈述,,,关于 图示 地区 自然地理环境 的 叙述 ， 正确 的 是 平原 面积 较 大 ， 山脉 呈 东北 — 西南 走向,关于 图示 地区 自然地理环境 的 叙述 ， 正确 的 是 平原 面积 较 大 ， 山脉 呈 东北 — 西南 走向,P NN NN term DEG NN PU VA DEC VC term NN AD VA PU NN VV NN PU NN VV,( (IP (IP (NP (DNP (PP (P 关于) (NP (CP (VP (VA 图示))) (NP (NN 地区) (NN 自然地理环境)))) (DEG 的)) (NP (NN 叙述))) (PU ，) (NP (CP (IP (VP (VA 正确))) (DEC 的))) (VP (VC 是) (IP (NP (NN 平原) (NN 面积)) (VP (ADVP (AD 较)) (VP (VA 大)))))) (PU ，) (IP (NP (NN 山脉)) (VP (VV 呈) (NP (NN 东北)))) (PRN (PU —) (NP (NN 西南) (NN 走向)))) )
科大讯飞-地理测试11（北京市海淀区高三第一学期期末练习）,25-D-0,关于图示地区自然地理环境的叙述，正确的是	平原面积较大,ed-ori,,,3 10,,关于 图示 地区 自然地理环境 的 叙述 ， 正确 的 是 平原 面积 较 大,关于 图示 地区 自然 地理 环境 的 叙述 ， 正确 的 是 平原 面积 较 大,P VA NN term DEG NN PU VA DEC VC term NN AD VA,,实体信息陈述_0（图示地区，平原面积，大）,实体信息陈述_0（图示地区，平原面积，大）,,,实体信息陈述,实体信息陈述,,,关于 图示 地区 自然地理环境 的 叙述 ， 正确 的 是 平原 面积 较 大,关于 图示 地区 自然地理环境 的 叙述 ， 正确 的 是 平原 面积 较 大,P NN NN term DEG NN PU VA DEC VC term NN AD VA,( (IP (NP (DNP (PP (P 关于) (NP (CP (VP (VA 图示))) (NP (NN 地区) (NN 自然地理环境)))) (DEG 的)) (NP (NN 叙述))) (PU ，) (NP (CP (IP (VP (VA 正确))) (DEC 的))) (VP (VC 是) (IP (NP (NN 平原) (NN 面积)) (VP (ADVP (AD 较)) (VP (VA 大)))))) )
科大讯飞-地理测试11（北京市海淀区高三第一学期期末练习）,25-D-1,关于图示地区自然地理环境的叙述，正确的是	山脉呈东北—西南走向,ed-ori,,,3,,关于 图示 地区 自然地理环境 的 叙述 ， 正确 的 是 山脉 呈 东北 — 西南 走向,关于 图示 地区 自然 地理 环境 的 叙述 ， 正确 的 是 山脉 呈 东北 — 西南 走向,P VA NN term DEG NN PU VA DEC VC NN VV NN PU NN NN,,实体信息陈述_0（图示地区，山脉走向，呈东北—西南走向）,实体信息陈述_0（图示地区，山脉走向，呈东北—西南走向）,,,实体信息陈述,实体信息陈述,,,关于 图示 地区 自然地理环境 的 叙述 ， 正确 的 是 山脉 呈 东北 — 西南 走向,关于 图示 地区 自然地理环境 的 叙述 ， 正确 的 是 山脉 呈 东北 — 西南 走向,P NN NN term DEG NN PU VA DEC VC NN VV NN PU NN VV,( (IP (NP (DNP (PP (P 关于) (NP (CP (VP (VA 图示))) (NP (NN 地区) (NN 自然地理环境)))) (DEG 的)) (NP (NN 叙述))) (PU ，) (NP (CP (IP (VP (VA 正确))) (DEC 的))) (VP (VC 是) (IP (NP (NN 山脉)) (VP (VV 呈) (NP (NN 东北))))) (PRN (PU —) (NP (NN 西南) (NN 走向)))) )
科大讯飞-地理测试12（北京市西城区2013届高三第一学期期末试卷）,1-A,当好奇号探测车登陆火星表面时，美国肯尼迪航天中心（28°30′N，80°42′W）的区时是	8月5日13时31分,None,17,4 8,,10 12,当 好奇号 探测车 登陆 火星 表面 时 ， 美国肯尼迪航天中心 （ 28°30′N ， 80°42′W ） 的 区时 是 8月5日13时31分,当 好奇号 探测车 登陆 火星 表面 时 ， 美国 肯尼迪 航天 中心 （ 28° 30 ′ N ， 80° 42 ′ W ） 的 区时 是 8月 5日 13时 31分,P NN NN VV loc NN LC PU loc PU num PU num PU DEG NN VC time,,时间限定_0（好奇号探测车登陆火星表面）实体信息陈述_1（美国肯尼迪航天中心（28°30′N，80°42′W），区时，8月5日13时31分）,时间限定_0（好奇号探测车登陆火星表面）实体信息陈述_1（美国肯尼迪航天中心（28°30′N，80°42′W），区时，8月5日13时31分）,,,时间限定 实体信息陈述,时间限定 实体信息陈述,17,,当好 奇号 探测车 登陆 火星 表面 时 ， 美国 肯尼迪 航天 中心 （ 28° 30 ′ N ， 80° 42 ′ W ） 的 区时 是 8月5日13时31分,当好 奇号 探测车 登陆 火星 表面 时 ， 美国 肯尼迪 航天 中心 （ 28° 30 ′ N ， 80° 42 ′ W ） 的 区时 是 8月 5日 13时 31分,P NN NN VV loc NN LC PU loc PU num PU num PU DEG NN VC time,( (IP (PP (P 当) (LCP (IP (NP (NN 好奇号) (NN 探测车)) (VP (VV 登陆) (NP (NR 火星) (NN 表面)))) (LC 时))) (PU ，) (NP (DNP (NP (NR 美国肯尼迪航天中心) (PRN (PU （) (QP (CD 28°30′N) (PU ，) (CD 80°42′W)) (PU ）))) (DEG 的)) (NP (NN 区时))) (VP (VC 是) (NP (NT 8月5日13时31分)))) )
科大讯飞-地理测试12（北京市西城区2013届高三第一学期期末试卷）,1-B,当好奇号探测车登陆火星表面时，美国肯尼迪航天中心（28°30′N，80°42′W）的区时是	8月6日零时31分,None,17,4 8,,10 12,当 好奇号 探测车 登陆 火星 表面 时 ， 美国肯尼迪航天中心 （ 28°30′N ， 80°42′W ） 的 区时 是 8月6日零时31分,当 好奇号 探测车 登陆 火星 表面 时 ， 美国 肯尼迪 航天 中心 （ 28° 30 ′ N ， 80° 42 ′ W ） 的 区时 是 8月 6日 零时 31分,P NN NN VV loc NN LC PU loc PU num PU num PU DEG NN VC time,,时间限定_0（好奇号探测车登陆火星表面）实体信息陈述_1（美国肯尼迪航天中心（28°30′N，80°42′W），区时，8月6日13时31分）,时间限定_0（好奇号探测车登陆火星表面）实体信息陈述_1（美国肯尼迪航天中心（28°30′N，80°42′W），区时，8月6日13时31分）,,,时间限定 实体信息陈述,时间限定 实体信息陈述,17,,当好 奇号 探测车 登陆 火星 表面 时 ， 美国 肯尼迪 航天 中心 （ 28° 30 ′ N ， 80° 42 ′ W ） 的 区时 是 8月6日 零时 31分,当好 奇号 探测车 登陆 火星 表面 时 ， 美国 肯尼迪 航天 中心 （ 28° 30 ′ N ， 80° 42 ′ W ） 的 区时 是 8月 6日 零时 31分,P NN NN VV loc NN LC PU loc PU num PU num PU DEG NN VC time,( (IP (PP (P 当) (LCP (IP (NP (NN 好奇号) (NN 探测车)) (VP (VV 登陆) (NP (NR 火星) (NN 表面)))) (LC 时))) (PU ，) (NP (DNP (NP (NR 美国肯尼迪航天中心) (PRN (PU （) (QP (CD 28°30′N) (PU ，) (CD 80°42′W)) (PU ）))) (DEG 的)) (NP (NN 区时))) (VP (VC 是) (NP (NT 8月6日零时31分)))) )
科大讯飞-地理测试12（北京市西城区2013届高三第一学期期末试卷）,1-C,当好奇号探测车登陆火星表面时，美国肯尼迪航天中心（28°30′N，80°42′W）的区时是	8月7日2时31分,None,17,4 8,,10 12,当 好奇号 探测车 登陆 火星 表面 时 ， 美国肯尼迪航天中心 （ 28°30′N ， 80°42′W ） 的 区时 是 8月7日2时31分,当 好奇号 探测车 登陆 火星 表面 时 ， 美国 肯尼迪 航天 中心 （ 28° 30 ′ N ， 80° 42 ′ W ） 的 区时 是 8月 7日 2时 31分,P NN NN VV loc NN LC PU loc PU num PU num PU DEG NN VC time,,时间限定_0（好奇号探测车登陆火星表面）实体信息陈述_1（美国肯尼迪航天中心（28°30′N，80°42′W），区时，8月7日2时31分）,时间限定_0（好奇号探测车登陆火星表面）实体信息陈述_1（美国肯尼迪航天中心（28°30′N，80°42′W），区时，8月7日2时31分）,,,时间限定 实体信息陈述,时间限定 实体信息陈述,17,,当好 奇号 探测车 登陆 火星 表面 时 ， 美国 肯尼迪 航天 中心 （ 28° 30 ′ N ， 80° 42 ′ W ） 的 区时 是 8月7日2时31分,当好 奇号 探测车 登陆 火星 表面 时 ， 美国 肯尼迪 航天 中心 （ 28° 30 ′ N ， 80° 42 ′ W ） 的 区时 是 8月 7日 2时 31 分,P NN NN VV NN NN LC PU NR PU NT PU NR PU DEG NN VC NR,( (IP (PP (P 当) (LCP (IP (NP (NN 好奇号) (NN 探测车)) (VP (VV 登陆) (NP (NR 火星) (NN 表面)))) (LC 时))) (PU ，) (NP (DNP (NP (NR 美国肯尼迪航天中心) (PRN (PU （) (QP (CD 28°30′N) (PU ，) (CD 80°42′W)) (PU ）))) (DEG 的)) (NP (NN 区时))) (VP (VC 是) (NP (NT 8月7日2时31分)))) )
科大讯飞-地理测试12（北京市西城区2013届高三第一学期期末试卷）,1-D,当好奇号探测车登陆火星表面时，美国肯尼迪航天中心（28°30′N，80°42′W）的区时是	8月7日13时31分,None,17,4 8,,10 12,当 好奇号 探测车 登陆 火星 表面 时 ， 美国肯尼迪航天中心 （ 28°30′N ， 80°42′W ） 的 区时 是 8月7日13时31分,当 好奇号 探测车 登陆 火星 表面 时 ， 美国 肯尼迪 航天 中心 （ 28° 30 ′ N ， 80° 42 ′ W ） 的 区时 是 8月 7日 13时 31分,P NN NN VV loc NN LC PU loc PU num PU num PU DEG NN VC time,,时间限定_0（好奇号探测车登陆火星表面）实体信息陈述_1（美国肯尼迪航天中心（28°30′N，80°42′W），区时，8月7日13时31分）,时间限定_0（好奇号探测车登陆火星表面）实体信息陈述_1（美国肯尼迪航天中心（28°30′N，80°42′W），区时，8月7日13时31分）,,,时间限定 实体信息陈述,时间限定 实体信息陈述,16,,当好 奇号 探测车 登陆 火星 表面 时 ， 美国 肯尼迪 航天 中心 （ 28° 30 ′ N ， 80° 42 ′ W ） 的 区时 是 8月7日13时31分,当好 奇号 探测车 登陆 火星 表面 时 ， 美国 肯尼迪 航天 中心 （ 28° 30 ′ N ， 80° 42 ′ W ） 的 区时 是 8月 7日 13时 31分,P NN NN VV NN NN LC PU NR CD PU NR PU DEG NN VC NR,( (IP (PP (P 当) (LCP (IP (NP (NN 好奇号) (NN 探测车)) (VP (VV 登陆) (NP (NR 火星) (NN 表面)))) (LC 时))) (PU ，) (NP (DNP (NP (NR 美国肯尼迪航天中心) (PRN (PU （) (QP (CD 28°30′N) (PU ，) (CD 80°42′W)) (PU ）))) (DEG 的)) (NP (NN 区时))) (VP (VC 是) (NP (NT 8月7日13时31分)))) )
科大讯飞-地理测试12（北京市西城区2013届高三第一学期期末试卷）,2-A,下图是好奇号探测车登陆火星时地球表面的昼半球侧视图。下列说法正确的是	a点是北极点,None,,5 7,21,,下图 是 好奇号 探测车 登陆 火星 时 地球 表面 的 昼 半球 侧视图 。 下列 说法 正确 的 是 a点 是 北极点,下图 是 好奇号 探测车 登陆 火星 时 地球 表面 的 昼 半球 侧视图 。 下列 说法 正确 的 是 a点 是 北极 点,NN VC NN NN VV loc LC loc NN DEG NN NN NN PU JJ NN VA DEC VC NN VC term,,匹配_0（a点，北极点）,匹配_0（a点，北极点）,0_20,0_20,匹配,匹配,,,下图 是 好奇号 探测车 登陆 火星 时 地球 表面 的 昼 半球 侧视图 。 下列 说法 正确 的 是 a点 是 北极 点,下图 是 好奇号 探测车 登陆 火星 时 地球 表面 的 昼 半球 侧视图 。 下列 说法 正确 的 是 a点 是 北极 点,NN VC NN NN VV loc LC loc NN DEG NN NN NN PU JJ NN VA DEC VC NN VC term,( (IP (IP (NP (NN 下图)) (VP (VC 是) (NP (LCP (IP (NP (NN 好奇号) (NN 探测车)) (VP (VV 登陆) (NP (NR 火星)))) (LC 时)) (DNP (NP (NP (NR 地球)) (NP (NN 表面))) (DEG 的)) (NP (NN 昼) (NN 半球)) (NP (NN 侧视图))))) (PU 。) (IP (IP (NP (ADJP (JJ 下列)) (NP (NN 说法))) (NP (CP (IP (VP (VA 正确))) (DEC 的))) (VP (VC 是) (NP (NN a点)))) (VP (VC 是) (NP (NN 北极点))))) )
科大讯飞-地理测试12（北京市西城区2013届高三第一学期期末试卷）,2-B,下图是好奇号探测车登陆火星时地球表面的昼半球侧视图。下列说法正确的是	b点在赤道上,None,,5 7,21,,下图 是 好奇号 探测车 登陆 火星 时 地球 表面 的 昼 半球 侧视图 。 下列 说法 正确 的 是 b点 在 赤道 上,下图 是 好奇号 探测车 登陆 火星 时 地球 表面 的 昼 半球 侧视图 。 下列 说法 正确 的 是 b点 在 赤道 上,NN VC NN NN VV loc LC loc NN DEG NN NN NN PU JJ NN VA DEC VC NN P term LC,,位于_0（b点，赤道上）,位于_0（b点，赤道上）,0_20,0_20,位于,位于,,,下图 是 好奇号 探测车 登陆 火星 时 地球 表面 的 昼 半球 侧视图 。 下列 说法 正确 的 是 b点 在 赤道 上,下图 是 好奇号 探测车 登陆 火星 时 地球 表面 的 昼 半球 侧视图 。 下列 说法 正确 的 是 b点 在 赤道 上,NN VC NN NN VV loc LC loc NN DEG NN NN NN PU JJ NN VA DEC VC NN P term LC,( (IP (IP (NP (NN 下图)) (VP (VC 是) (NP (LCP (IP (NP (NN 好奇号) (NN 探测车)) (VP (VV 登陆) (NP (NR 火星)))) (LC 时)) (DNP (NP (NP (NR 地球)) (NP (NN 表面))) (DEG 的)) (NP (NN 昼) (NN 半球)) (NP (NN 侧视图))))) (PU 。) (IP (NP (ADJP (JJ 下列)) (NP (NN 说法))) (NP (CP (IP (VP (VA 正确))) (DEC 的))) (VP (VC 是) (NP (NP (NN b点)) (PP (P 在) (LCP (NP (NN 赤道)) (LC 上))))))) )
科大讯飞-地理测试12（北京市西城区2013届高三第一学期期末试卷）,2-C,下图是好奇号探测车登陆火星时地球表面的昼半球侧视图。下列说法正确的是	c点是太阳直射点,None,,5 7,21,,下图 是 好奇号 探测车 登陆 火星 时 地球 表面 的 昼 半球 侧视图 。 下列 说法 正确 的 是 c点 是 太阳直射点,下图 是 好奇号 探测车 登陆 火星 时 地球 表面 的 昼 半球 侧视图 。 下列 说法 正确 的 是 c点 是 太阳 直射点,NN VC NN NN VV loc LC loc NN DEG NN NN NN PU JJ NN VA DEC VC NN VC term,,匹配_0（c点，太阳直射点）,匹配_0（c点，太阳直射点）,0_20,0_20,匹配,匹配,,,下图 是 好奇号 探测车 登陆 火星 时 地球 表面 的 昼 半球 侧视图 。 下列 说法 正确 的 是 c点 是 太阳直射点,下图 是 好奇号 探测车 登陆 火星 时 地球 表面 的 昼 半球 侧视图 。 下列 说法 正确 的 是 c点 是 太阳直射点,NN VC NN NN VV loc LC loc NN DEG NN NN NN PU JJ NN VA DEC VC NN VC term,( (IP (IP (NP (NN 下图)) (VP (VC 是) (NP (LCP (IP (NP (NN 好奇号) (NN 探测车)) (VP (VV 登陆) (NP (NR 火星)))) (LC 时)) (DNP (NP (NP (NR 地球)) (NP (NN 表面))) (DEG 的)) (NP (NN 昼) (NN 半球)) (NP (NN 侧视图))))) (PU 。) (IP (IP (NP (ADJP (JJ 下列)) (NP (NN 说法))) (NP (CP (IP (VP (VA 正确))) (DEC 的))) (VP (VC 是) (NP (NN c点)))) (VP (VC 是) (NP (NN 太阳直射点))))) )
科大讯飞-地理测试12（北京市西城区2013届高三第一学期期末试卷）,2-D,下图是好奇号探测车登陆火星时地球表面的昼半球侧视图。下列说法正确的是	d点在南回归线上,None,,5 7,21,,下图 是 好奇号 探测车 登陆 火星 时 地球 表面 的 昼 半球 侧视图 。 下列 说法 正确 的 是 d点 在 南回归线 上,下图 是 好奇号 探测车 登陆 火星 时 地球 表面 的 昼 半球 侧视图 。 下列 说法 正确 的 是 d点 在 南 回归线 上,NN VC NN NN VV loc LC loc NN DEG NN NN NN PU JJ NN VA DEC VC NN P term LC,,位于_0（d点，南回归线上）,位于_0（d点，南回归线上）,0_20,0_20,位于,位于,,,下图 是 好奇号 探测车 登陆 火星 时 地球 表面 的 昼 半球 侧视图 。 下列 说法 正确 的 是 d点 在 南回归线 上,下图 是 好奇号 探测车 登陆 火星 时 地球 表面 的 昼 半球 侧视图 。 下列 说法 正确 的 是 d点 在 南回归线 上,NN VC NN NN VV loc LC loc NN DEG NN NN NN PU JJ NN VA DEC VC NN P term LC,( (IP (IP (NP (NN 下图)) (VP (VC 是) (NP (LCP (IP (NP (NN 好奇号) (NN 探测车)) (VP (VV 登陆) (NP (NR 火星)))) (LC 时)) (DNP (NP (NP (NR 地球)) (NP (NN 表面))) (DEG 的)) (NP (NN 昼) (NN 半球)) (NP (NN 侧视图))))) (PU 。) (IP (NP (ADJP (JJ 下列)) (NP (NN 说法))) (NP (CP (IP (VP (VA 正确))) (DEC 的))) (VP (VC 是) (NP (NP (NN d点)) (PP (P 在) (LCP (NP (NN 南回归线)) (LC 上))))))) )
